source,series,checkpoint_count,train_count,assumed_noise_fraction,tail_energy_rank_1,tail_energy_rank_2,tail_energy_rank_3,selected_order,pencil_order,pencil_all_real_stable,pencil_poles,pencil_train_nrmse
published,gsm8k_qe__gap,20,10,0.005,0.01356673776909959,0.008161328316052353,0.0029635262785683036,1,1,True,0.711381,0.007651113166133641
published,gsm8k_qe__gap,20,10,0.01,0.01356673776909959,0.008161328316052353,0.0029635262785683036,1,1,True,0.711381,0.007651113166133641
published,gsm8k_qe__gap,20,10,0.02,0.01356673776909959,0.008161328316052353,0.0029635262785683036,1,1,True,0.711381,0.007651113166133641
published,gsm8k_qe__gap,20,10,0.03,0.01356673776909959,0.008161328316052353,0.0029635262785683036,1,1,True,0.711381,0.007651113166133641
published,gsm8k_qe__gap,20,12,0.005,0.013996367955208412,0.008486489679030302,0.003239984868206139,1,1,True,0.714018,0.007663008748996485
published,gsm8k_qe__gap,20,12,0.01,0.013996367955208412,0.008486489679030302,0.003239984868206139,1,1,True,0.714018,0.007663008748996485
published,gsm8k_qe__gap,20,12,0.02,0.013996367955208412,0.008486489679030302,0.003239984868206139,1,1,True,0.714018,0.007663008748996485
published,gsm8k_qe__gap,20,12,0.03,0.013996367955208412,0.008486489679030302,0.003239984868206139,1,1,True,0.714018,0.007663008748996485
published,gsm8k_qe__gap,20,14,0.005,0.013954657956906464,0.008515961791571467,0.0033221268848934622,1,1,True,0.711451,0.006792568209019348
published,gsm8k_qe__gap,20,14,0.01,0.013954657956906464,0.008515961791571467,0.0033221268848934622,1,1,True,0.711451,0.006792568209019348
published,gsm8k_qe__gap,20,14,0.02,0.013954657956906464,0.008515961791571467,0.0033221268848934622,1,1,True,0.711451,0.006792568209019348
published,gsm8k_qe__gap,20,14,0.03,0.013954657956906464,0.008515961791571467,0.0033221268848934622,1,1,True,0.711451,0.006792568209019348
published,gsm8k_qe__gap,20,15,0.005,0.0141464845632309,0.008706504026726656,0.003512895035569182,1,1,True,0.711086,0.006439337092870041
published,gsm8k_qe__gap,20,15,0.01,0.0141464845632309,0.008706504026726656,0.003512895035569182,1,1,True,0.711086,0.006439337092870041
published,gsm8k_qe__gap,20,15,0.02,0.0141464845632309,0.008706504026726656,0.003512895035569182,1,1,True,0.711086,0.006439337092870041
published,gsm8k_qe__gap,20,15,0.03,0.0141464845632309,0.008706504026726656,0.003512895035569182,1,1,True,0.711086,0.006439337092870041
published,gsm8k_qe__gap,20,16,0.005,0.014405958820963849,0.008962688930025999,0.0037707127137474924,1,1,True,0.711145,0.006331691151469062
published,gsm8k_qe__gap,20,16,0.01,0.014405958820963849,0.008962688930025999,0.0037707127137474924,1,1,True,0.711145,0.006331691151469062
published,gsm8k_qe__gap,20,16,0.02,0.014405958820963849,0.008962688930025999,0.0037707127137474924,1,1,True,0.711145,0.006331691151469062
published,gsm8k_qe__gap,20,16,0.03,0.014405958820963849,0.008962688930025999,0.0037707127137474924,1,1,True,0.711145,0.006331691151469062
published,gsm8k_qe__solver,20,10,0.005,0.007770511549437401,0.004373680869500902,0.0021722989326423484,1,1,True,0.780022,0.00517166249593783
published,gsm8k_qe__solver,20,10,0.01,0.007770511549437401,0.004373680869500902,0.0021722989326423484,1,1,True,0.780022,0.00517166249593783
published,gsm8k_qe__solver,20,10,0.02,0.007770511549437401,0.004373680869500902,0.0021722989326423484,1,1,True,0.780022,0.00517166249593783
published,gsm8k_qe__solver,20,10,0.03,0.007770511549437401,0.004373680869500902,0.0021722989326423484,1,1,True,0.780022,0.00517166249593783
