representation,checkpoint_count,hankel_size,noise_sd,noise_percent_of_total_response,replicates,null_threshold_s2_over_s1,false_positive_rate,detection_power
residual,30,15,0.0025,0.25,2000,0.016683663770877627,0.0525,1.0
kernel,30,15,0.0025,0.25,2000,0.054945714759410035,0.059,1.0
residual,30,15,0.005,0.5,2000,0.03361256145034999,0.0505,1.0
kernel,30,15,0.005,0.5,2000,0.11170432813274041,0.046,1.0
residual,30,15,0.01,1.0,2000,0.06719634219807089,0.0455,1.0
kernel,30,15,0.01,1.0,2000,0.21903953860400782,0.0525,0.252
residual,30,15,0.02,2.0,2000,0.13470955567198858,0.0565,1.0
kernel,30,15,0.02,2.0,2000,0.44040217117522085,0.046,0.208
residual,30,15,0.05,5.0,2000,0.3331086187389697,0.051,0.0045
kernel,30,15,0.05,5.0,2000,0.9144035491817468,0.046,0.15
residual,40,20,0.0,0.0,2000,1.307638942861799e-17,0.0,1.0
kernel,40,20,0.0,0.0,2000,4.2300366711679803e-17,0.0,1.0
residual,40,20,0.001,0.1,2000,0.008008769970630297,0.056,1.0
kernel,40,20,0.001,0.1,2000,0.026091048217494833,0.0595,1.0
residual,40,20,0.0025,0.25,2000,0.019812843093787932,0.0565,1.0
kernel,40,20,0.0025,0.25,2000,0.06607091719804427,0.039,1.0
residual,40,20,0.005,0.5,2000,0.04014554501304145,0.0395,1.0
kernel,40,20,0.005,0.5,2000,0.13296741193319545,0.0485,0.973
residual,40,20,0.01,1.0,2000,0.07937012351679328,0.048,1.0
kernel,40,20,0.01,1.0,2000,0.2599198267035024,0.046,0.2455
residual,40,20,0.02,2.0,2000,0.15993778143917575,0.047,1.0
kernel,40,20,0.02,2.0,2000,0.5170633021130522,0.045,0.2205
residual,40,20,0.05,5.0,2000,0.3854626406255015,0.0555,0.0
kernel,40,20,0.05,5.0,2000,0.9683516938966753,0.0475,0.117
residual,60,30,0.0,0.0,2000,6.310063083170778e-17,0.0,1.0
kernel,60,30,0.0,0.0,2000,6.060855553411929e-17,0.0,1.0
residual,60,30,0.001,0.1,2000,0.00995253630794198,0.046,1.0
kernel,60,30,0.001,0.1,2000,0.0331923658419199,0.047,1.0
residual,60,30,0.0025,0.25,2000,0.025236870125078838,0.0405,1.0
kernel,60,30,0.0025,0.25,2000,0.08332286289695115,0.0385,1.0
residual,60,30,0.005,0.5,2000,0.05023866373801971,0.0515,1.0
kernel,60,30,0.005,0.5,2000,0.16550728743507975,0.051,0.3035
residual,60,30,0.01,1.0,2000,0.09958032353238501,0.0445,1.0
kernel,60,30,0.01,1.0,2000,0.3216044506039385,0.06,0.311
residual,60,30,0.02,2.0,2000,0.20074569615963894,0.042,0.999
kernel,60,30,0.02,2.0,2000,0.6469504244811795,0.0425,0.237
residual,60,30,0.05,5.0,2000,0.4854664714679441,0.0475,0.0
kernel,60,30,0.05,5.0,2000,0.9917182301634329,0.0505,0.0905
