panel,series,checkpoint,epoch,svg_x,svg_y,affine_uncertainty
gsm8k_qe,verifier,1,0.5,433.621599,188.219081,0.41662898935667836
gsm8k_qe,verifier,2,1.0,447.492094,196.911423,0.38520393463370023
gsm8k_qe,verifier,3,1.5,461.362589,206.32793,0.35116083695366124
gsm8k_qe,verifier,4,2.0,475.233083,215.087986,0.31949097868343307
gsm8k_qe,verifier,5,2.5,489.103578,223.413311,0.28939278492718457
gsm8k_qe,verifier,6,3.0,502.974073,230.609506,0.2633766868868381
gsm8k_qe,verifier,7,3.5,516.844568,237.428532,0.23872415190749544
gsm8k_qe,verifier,8,4.0,530.715063,241.549475,0.22382588176519388
gsm8k_qe,verifier,9,4.5,544.585558,247.44847,0.20249949577099655
gsm8k_qe,verifier,10,5.0,558.456052,251.288339,0.1886173805189658
gsm8k_qe,verifier,11,5.5,572.326547,255.846045,0.1721400996594178
gsm8k_qe,verifier,12,6.0,586.197042,258.584961,0.16223821301233918
gsm8k_qe,verifier,13,6.5,600.067537,262.345405,0.14864323958829598
gsm8k_qe,verifier,14,7.0,613.938032,264.893259,0.13943209127220837
gsm8k_qe,verifier,15,7.5,627.808527,268.281725,0.12718191410741778
gsm8k_qe,verifier,16,8.0,641.679021,269.714755,0.12200114163324796
gsm8k_qe,verifier,17,8.5,655.549516,272.334911,0.11252860296843958
gsm8k_qe,verifier,18,9.0,669.420011,274.652088,0.10415141140972889
gsm8k_qe,verifier,19,9.5,683.290506,276.513546,0.09742176138968525
gsm8k_qe,verifier,20,10.0,697.161001,278.30759,0.090935830339638
gsm8k_qe,gap,1,0.5,433.621599,160.214219,0.5178737771088684
gsm8k_qe,gap,2,1.0,447.492094,194.861099,0.39261638387923564
gsm8k_qe,gap,3,1.5,461.362589,220.443285,0.30013019373814337
gsm8k_qe,gap,4,2.0,475.233083,240.266072,0.228465714103433
gsm8k_qe,gap,5,2.5,489.103578,252.880784,0.18286028176832614
gsm8k_qe,gap,6,3.0,502.974073,258.869306,0.16121023261474274
gsm8k_qe,gap,7,3.5,516.844568,267.189364,0.13113108041981625
gsm8k_qe,gap,8,4.0,530.715063,271.948957,0.11392392606669681
gsm8k_qe,gap,9,4.5,544.585558,274.809672,0.10358170466976567
gsm8k_qe,gap,10,5.0,558.456052,276.98175,0.09572908336096574
gsm8k_qe,gap,11,5.5,572.326547,278.339526,0.0908203734756959
gsm8k_qe,gap,12,6.0,586.197042,279.288666,0.08738898795959824
gsm8k_qe,gap,13,6.5,600.067537,280.461757,0.08314796190815744
gsm8k_qe,gap,14,7.0,613.938032,280.551598,0.08282316355791211
gsm8k_qe,gap,15,7.5,627.808527,281.759163,0.07845750511896062
gsm8k_qe,gap,16,8.0,641.679021,281.398164,0.0797626094659755
gsm8k_qe,gap,17,8.5,655.549516,283.092212,0.0736381897062201
gsm8k_qe,gap,18,9.0,669.420011,283.341236,0.07273790381924813
gsm8k_qe,gap,19,9.5,683.290506,284.54915,0.0683709836554244
gsm8k_qe,gap,20,10.0,697.161001,285.942359,0.0633341743506886
math_tf,solver,1,0.5,790.719795,39.429593,0.9545413037368398
math_tf,solver,2,1.0,804.59029,84.569529,0.7913488109665685
math_tf,solver,3,1.5,818.460785,121.348991,0.6583815846388779
math_tf,solver,4,2.0,832.33128,147.123125,0.5652014530486381
math_tf,solver,5,2.5,846.201775,166.412643,0.49546487817274504
math_tf,solver,6,3.0,860.072269,181.825987,0.4397416704729002
math_tf,solver,7,3.5,873.942764,194.862818,0.3926101692515704
math_tf,solver,8,4.0,887.813259,206.948826,0.34891613802473304
math_tf,solver,9,4.5,901.683754,216.402942,0.31473707412487933
math_tf,solver,10,5.0,915.554249,223.768187,0.288109816801923
math_tf,solver,11,5.5,929.424744,230.211207,0.26481664033909613
math_tf,solver,12,6.0,943.295238,235.719039,0.2449044093195424
math_tf,solver,13,6.5,957.165733,239.975929,0.2295146557640912
math_tf,solver,14,7.0,971.036228,244.646272,0.2126301631440266
math_tf,solver,15,7.5,984.906723,248.205763,0.1997616865630376
math_tf,solver,16,8.0,998.777218,252.20055,0.1853195028475739
math_tf,solver,17,8.5,1012.647713,255.192199,0.17450392132340672
math_tf,solver,18,9.0,1026.518207,257.053167,0.16777604277954472
math_tf,solver,19,9.5,1040.388702,259.896538,0.1574965244089226
math_tf,solver,20,10.0,1054.259197,262.411842,0.14840305272489035
math_tf,verifier,1,0.5,790.719795,204.399033,0.3581342963251388
math_tf,verifier,2,1.0,804.59029,213.506625,0.32520800591979615
math_tf,verifier,3,1.5,818.460785,223.190264,0.29019915726973566
math_tf,verifier,4,2.0,832.33128,231.61286,0.2597493037999187
math_tf,verifier,5,2.5,846.201775,237.229247,0.23944461850101748
math_tf,verifier,6,3.0,860.072269,243.283807,0.217555824971776
math_tf,verifier,7,3.5,873.942764,248.326946,0.19932357881181306
math_tf,verifier,8,4.0,887.813259,253.553852,0.18042696762441815
math_tf,verifier,9,4.5,901.683754,256.985022,0.16802240450278294
