source,group,window_start,window_end,window_midpoint,relative_midpoint,shared_difference_mode,solver_difference_mode,verifier_difference_mode,gap_difference_mode,shared_relative_residual_energy
published,gsm8k_qe,0.5,3.5,2.0,0.15789473684210525,0.7777371235391651,0.7923660224486482,0.9563345550819221,0.7241226926320417,0.019839465203164843
published,gsm8k_qe,1.0,4.0,2.5,0.21052631578947367,0.7561071653792183,0.766117519761373,0.8783722439014574,0.7030587666653193,0.0335374524662835
published,gsm8k_qe,1.5,4.5,3.0,0.2631578947368421,0.7278059671032701,0.7404656417401739,0.896700324953151,0.6305304558488725,0.061355850208761886
published,gsm8k_qe,2.0,5.0,3.5,0.3157894736842105,0.7339741549127327,0.742736404744259,0.8389412362348005,0.6263188122684172,0.09544902857932991
published,gsm8k_qe,2.5,5.5,4.0,0.3684210526315789,0.8374656710408278,0.8407726123394836,0.8593792310636678,0.797801433142324,0.09331064072857388
published,gsm8k_qe,3.0,6.0,4.5,0.42105263157894735,0.7050979790232474,0.7068649631811812,0.7851148064995003,0.5971317831013151,0.07293724307057745
published,gsm8k_qe,3.5,6.5,5.0,0.47368421052631576,0.8527741122127329,0.8572595944442386,0.9203078764318011,0.6574682707443759,0.07877070663484793
published,gsm8k_qe,4.0,7.0,5.5,0.5263157894736842,0.7647392178038505,0.7601908335903271,0.7885787290082547,0.6856014684703502,0.08556643172847918
published,gsm8k_qe,4.5,7.5,6.0,0.5789473684210527,0.873981736489863,0.8679371609128465,0.9190379512931013,0.6290833428432109,0.13761639795195615
published,gsm8k_qe,5.0,8.0,6.5,0.631578947368421,0.7072720445655845,0.6937056799526521,0.7592974118633463,0.3902195412913759,0.25888649264904756
published,gsm8k_qe,5.5,8.5,7.0,0.6842105263157895,0.8010270618484587,0.787285155948492,0.8909276836123912,0.07223969798593392,0.39254080146146586
published,gsm8k_qe,6.0,9.0,7.5,0.7368421052631579,0.6571913667913439,0.6339399680537258,0.8017031429835573,-0.07047274667702537,0.4362811367620049
published,gsm8k_qe,6.5,9.5,8.0,0.7894736842105263,0.745852191872289,0.7463579121618348,0.856397315383445,-0.04777218693234116,0.44906816665880267
published,gsm8k_qe,7.0,10.0,8.5,0.8421052631578947,0.6728729120415026,0.6729059662189094,0.763977983541369,0.22712231168559682,0.43155264920712066
published,gsm8k_tf,0.5,3.5,2.0,0.15789473684210525,0.7428873967531532,0.7500193950782734,0.8342249386976225,0.7177851562979488,0.005628862324443526
published,gsm8k_tf,1.0,4.0,2.5,0.21052631578947367,0.7474609813745389,0.7546736522780652,0.8172904780835961,0.7205859537514271,0.009815068465537815
