from_epoch,to_epoch,solver_uncertainty_before,solver_uncertainty_after,solver_uncertainty_change,verifier_uncertainty_before,verifier_uncertainty_after,verifier_uncertainty_change,solver_normalized_uncertainty_before,solver_normalized_uncertainty_after,solver_normalized_uncertainty_change,verifier_normalized_uncertainty_before,verifier_normalized_uncertainty_after,verifier_normalized_uncertainty_change,solver_mean_token_count_before,solver_mean_token_count_after,solver_mean_token_count_change,verifier_mean_token_count_before,verifier_mean_token_count_after,verifier_mean_token_count_change,solver_accuracy_before,solver_accuracy_after,solver_accuracy_change,verifier_accuracy_before,verifier_accuracy_after,verifier_accuracy_change
0.0,0.25,10.305311580654234,10.332102621439844,0.026791040785610676,10.1640374683775,10.296615833882242,0.13257836550474167,0.381811395753175,0.38688365230336785,0.005072256550192833,0.32738874526694417,0.33006286388263106,0.0026741186156868935,14.5,14.5,0.0,16.625,17.5,0.875,0.5,0.5,0.0,0.625,0.75,0.125
0.25,0.5,10.332102621439844,10.264348268974572,-0.06775435246527195,10.296615833882242,10.098214807454497,-0.19840102642774582,0.38688365230336785,0.3789743850938976,-0.007909267209470272,0.33006286388263106,0.32664948841556907,-0.0034133754670619965,14.5,14.5,0.0,17.5,16.125,-1.375,0.5,0.5,0.0,0.75,0.75,0.0
0.5,0.75,10.264348268974572,10.356969536282122,0.09262126730754972,10.098214807454497,10.089014143683016,-0.009200663771480322,0.3789743850938976,0.3915769914165139,0.012602606322616339,0.32664948841556907,0.3248459007591009,-0.001803587656468153,14.5,14.5,0.0,16.125,16.125,0.0,0.5,0.5,0.0,0.75,0.75,0.0
0.75,1.0,10.356969536282122,10.297148267738521,-0.059821268543601036,10.089014143683016,10.072411878965795,-0.01660226471722126,0.3915769914165139,0.3835048610344529,-0.008072130382061005,0.3248459007591009,0.3229643041267991,-0.0018815966323018074,14.5,14.5,0.0,16.125,16.125,0.0,0.5,0.5,0.0,0.75,0.75,0.0
1.0,1.25,10.297148267738521,10.415845025330782,0.11869675759226084,10.072411878965795,10.265374852344394,0.1929629733785987,0.3835048610344529,0.37874764343723655,-0.004757217597216368,0.3229643041267991,0.32727623684331775,0.0043119327165186405,14.5,14.375,-0.125,16.125,16.125,0.0,0.5,0.5,0.0,0.75,0.75,0.0
1.25,1.5,10.415845025330782,2.3940058182924986,-8.021839207038283,10.265374852344394,6.251887657679617,-4.013487194664776,0.37874764343723655,0.3334132148884237,-0.045334428548812866,0.32727623684331775,0.40984898852184415,0.0825727516785264,14.375,6.875,-7.5,16.125,14.0,-2.125,0.5,0.375,-0.125,0.75,0.625,-0.125
1.5,1.75,2.3940058182924986,2.3685386748984456,-0.025467143394052982,6.251887657679617,6.040764172561467,-0.2111234851181507,0.3334132148884237,0.329697220120579,-0.003715994767844677,0.40984898852184415,0.37046558735892177,-0.03938340116292238,6.875,6.875,0.0,14.0,14.125,0.125,0.375,0.375,0.0,0.625,0.625,0.0
1.75,2.0,2.3685386748984456,2.344315445050597,-0.024223229847848415,6.040764172561467,6.039127299562097,-0.0016368729993700981,0.329697220120579,0.32627790002152324,-0.003419320099055767,0.37046558735892177,0.36931574111804366,-0.0011498462408781052,6.875,6.875,0.0,14.125,14.125,0.0,0.375,0.375,0.0,0.625,0.625,0.0
2.0,2.25,2.344315445050597,2.298133151140064,-0.04618229391053319,6.039127299562097,6.028939637821168,-0.010187661740928888,0.32627790002152324,0.3200119002722204,-0.006265999749302864,0.36931574111804366,0.36753520695492625,-0.0017805341631174088,6.875,6.875,0.0,14.125,14.125,0.0,0.375,0.375,0.0,0.625,0.625,0.0
2.25,2.5,2.298133151140064,2.2594081885181367,-0.03872496262192726,6.028939637821168,6.035715132486075,0.0067754946649074554,0.3200119002722204,0.31499510118737817,-0.005016799084842205,0.36753520695492625,0.36772113805636764,0.00018593110144138336,6.875,6.875,0.0,14.125,14.125,0.0,0.375,0.375,0.0,0.625,0.625,0.0
