from_epoch,to_epoch,solver_uncertainty_before,solver_uncertainty_after,solver_uncertainty_change,verifier_uncertainty_before,verifier_uncertainty_after,verifier_uncertainty_change,solver_normalized_uncertainty_before,solver_normalized_uncertainty_after,solver_normalized_uncertainty_change,verifier_normalized_uncertainty_before,verifier_normalized_uncertainty_after,verifier_normalized_uncertainty_change,solver_mean_token_count_before,solver_mean_token_count_after,solver_mean_token_count_change,verifier_mean_token_count_before,verifier_mean_token_count_after,verifier_mean_token_count_change,solver_accuracy_before,solver_accuracy_after,solver_accuracy_change,verifier_accuracy_before,verifier_accuracy_after,verifier_accuracy_change
2.5,2.75,2.2594081885181367,2.2547848066315055,-0.00462338188663125,6.035715132486075,6.023339429870248,-0.012375702615827322,0.31499510118737817,0.3142258459702134,-0.0007692552171647549,0.36772113805636764,0.3655857630074024,-0.0021353750489652157,6.875,6.875,0.0,14.125,14.125,0.0,0.375,0.375,0.0,0.625,0.625,0.0
2.75,3.0,2.2547848066315055,2.253430733922869,-0.0013540727086365223,6.023339429870248,6.02261223224923,-0.0007271976210176945,0.3142258459702134,0.3141965395770967,-2.930639311671257e-05,0.3655857630074024,0.3656629822216928,7.721921429038048e-05,6.875,6.875,0.0,14.125,14.125,0.0,0.375,0.375,0.0,0.625,0.625,0.0
3.0,3.25,2.253430733922869,2.2329118652269244,-0.020518868695944548,6.02261223224923,9.70292857196182,3.68031633971259,0.3141965395770967,0.3112359009683132,-0.0029606386087834835,0.3656629822216928,0.4334221100434661,0.06775912782177329,6.875,6.875,0.0,14.125,18.25,4.125,0.375,0.375,0.0,0.625,0.5,-0.125
3.25,3.5,2.2329118652269244,2.2269869837909937,-0.005924881435930729,9.70292857196182,9.689182437956333,-0.013746134005486965,0.3112359009683132,0.3105506794527173,-0.0006852215155959129,0.4334221100434661,0.43282695952802896,-0.0005951505154371262,6.875,6.875,0.0,18.25,18.25,0.0,0.375,0.375,0.0,0.5,0.5,0.0
3.5,3.75,2.2269869837909937,2.234388875309378,0.007401891518384218,9.689182437956333,9.683300866279751,-0.005881571676582098,0.3105506794527173,0.3117097453214228,0.001159065868705511,0.43282695952802896,0.4340734495781362,0.0012464900501072407,6.875,6.875,0.0,18.25,18.25,0.0,0.375,0.375,0.0,0.5,0.5,0.0
3.75,4.0,2.234388875309378,2.2304866607300937,-0.003902214579284191,9.683300866279751,9.679853979032487,-0.0034468872472643852,0.3117097453214228,0.3112547737546265,-0.0004549715667963028,0.4340734495781362,0.4343639840371907,0.00029053445905447006,6.875,6.875,0.0,18.25,18.25,0.0,0.375,0.375,0.0,0.5,0.5,0.0
4.0,4.5,2.2304866607300937,2.2015254055149853,-0.028961255215108395,9.679853979032487,9.689474124927074,0.00962014589458704,0.3112547737546265,0.30758273927494884,-0.003672034479677677,0.4343639840371907,0.43612293200567365,0.0017589479684829712,6.875,6.875,0.0,18.25,18.25,0.0,0.375,0.375,0.0,0.5,0.5,0.0
4.5,5.0,2.2015254055149853,2.292164662387222,0.09063925687223673,9.689474124927074,9.669999749865383,-0.019474375061690807,0.30758273927494884,0.3205130393616855,0.012930300086736679,0.43612293200567365,0.4349566991440952,-0.0011662328615784645,6.875,6.875,0.0,18.25,18.25,0.0,0.375,0.5,0.125,0.5,0.5,0.0
5.0,5.5,2.292164662387222,2.272466953843832,-0.019697708543390036,9.669999749865383,9.832293778657913,0.1622940287925303,0.3205130393616855,0.317736872471869,-0.0027761668898165226,0.4349566991440952,0.43599546514451504,0.0010387660004198551,6.875,6.875,0.0,18.25,19.5,1.25,0.5,0.5,0.0,0.5,0.5,0.0
5.5,6.0,2.272466953843832,2.2668363875709474,-0.005630566272884607,9.832293778657913,9.82402661209926,-0.008267166558653116,0.317736872471869,0.31676472211256623,-0.0009721503593027592,0.43599546514451504,0.4351659300737083,-0.0008295350708067417,6.875,6.875,0.0,19.5,19.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0
6.0,6.5,2.2668363875709474,2.272927693091333,0.006091305520385504,9.82402661209926,9.611656532622874,-0.2123700794763863,0.31676472211256623,0.3172270515933633,0.0004623294807970524,0.4351659300737083,0.4304873589426279,-0.004678571131080389,6.875,6.875,0.0,19.5,18.25,-1.25,0.5,0.5,0.0,0.5,0.5,0.0
6.5,7.0,2.272927693091333,2.245536359027028,-0.02739133406430483,9.611656532622874,9.765359161421657,0.15370262879878283,0.3172270515933633,0.3136241678148508,-0.003602883778512478,0.4304873589426279,0.4315119031816721,0.0010245442390441895,6.875,6.875,0.0,18.25,19.5,1.25,0.5,0.5,0.0,0.5,0.5,0.0
7.0,7.5,2.245536359027028,2.214028720743954,-0.0315076382830739,9.765359161421657,9.54867500346154,-0.21668415796011686,0.3136241678148508,0.3093757089227438,-0.00424845889210701,0.4315119031816721,0.4278938574716449,-0.003618045710027218,6.875,6.875,0.0,19.5,18.25,-1.25,0.5,0.5,0.0,0.5,0.5,0.0
7.5,8.0,2.214028720743954,2.206659813877195,-0.007368906866759062,9.54867500346154,9.551129152532667,0.0024541490711271763,0.3093757089227438,0.3083646227605641,-0.0010110861621797085,0.4278938574716449,0.4280930352397263,0.00019917776808142662,6.875,6.875,0.0,18.25,18.25,0.0,0.5,0.5,0.0,0.5,0.5,0.0
8.0,8.5,2.206659813877195,2.192090434487909,-0.014569379389286041,9.551129152532667,9.699125056620687,0.14799590408802032,0.3083646227605641,0.30663639260455966,-0.0017282301560044289,0.4280930352397263,0.4305728138424456,0.002479778602719307,6.875,6.875,0.0,18.25,19.5,1.25,0.5,0.5,0.0,0.5,0.5,0.0
8.5,9.0,2.192090434487909,2.173922744579613,-0.01816768990829587,9.699125056620687,9.696658664382994,-0.0024663922376930714,0.30663639260455966,0.3042107243090868,-0.0024256682954728603,0.4305728138424456,0.43102439027279615,0.00045157643035054207,6.875,6.875,0.0,19.5,19.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0
9.0,9.5,2.173922744579613,2.188640317879617,0.014717573300004005,9.696658664382994,9.718624356202781,0.021965691819787025,0.3042107243090868,0.30618120543658733,0.001970481127500534,0.43102439027279615,0.4331713141873479,0.002146923914551735,6.875,6.875,0.0,19.5,19.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0
9.5,10.0,2.188640317879617,2.133911526761949,-0.05472879111766815,9.718624356202781,2.303829023614526,-7.414795332588255,0.30618120543658733,0.28035250771790743,-0.025828697718679905,0.4331713141873479,0.23928968701511621,-0.19388162717223167,6.875,8.125,1.25,19.5,10.25,-9.25,0.5,0.5,0.0,0.5,0.625,0.125
