case,modal_order,modes,weights,modal_radius,T_0.05,hankel_rank,initial_profile,terminal_profile_at_horizon,kernel_mass_at_horizon
single_mode,1,0.45,1,0.45,4,1,0.0,1.0,1.0
two_mode,2,0.45;0.94,0.75;0.25,0.94,27,2,0.0,0.9982292049608195,0.9982292049608195
