source,group,window_count,median_shared_mode,shared_mode_iqr,early_median_shared_mode,late_median_shared_mode,early_late_mode_shift,stable_decay_window_fraction
published,gsm8k_qe,14,0.7509796786257537,0.08279905207112948,0.7450406601459755,0.7093625519568958,-0.03567810818907968,1.0
published,gsm8k_tf,14,0.7548313266255874,0.08855154043598357,0.7757011408197734,0.6836327148396668,-0.09206842598010656,1.0
published,math_qe,14,0.8236049062475745,0.04040631651101034,0.8102577335849701,0.8223650986395731,0.01210736505460297,1.0
published,math_tf,14,0.8433837293572306,0.05737196869924166,0.777223858432202,0.8664375941825864,0.08921373575038438,1.0
reproduction,20260718,15,-0.3177713429528769,0.3823169778763068,0.05883557280623298,-0.3416844561409739,-0.4005200289472069,0.26666666666666666
reproduction,20260719,15,-0.04493549907237476,0.2887857563111226,-0.1928149112660004,-0.011369223523725732,0.18144568774227465,0.13333333333333333
reproduction,20260720,15,-0.24610592381642174,0.48570467153435726,-0.010004987035076547,-0.5229522107555891,-0.5129472237205125,0.06666666666666667
