source,series,truth,checkpoint_count,train_count,heldout_count,train_fraction,model,winner,train_sse,heldout_mse,heldout_nrmse,mse_ratio_to_persistence,parameters
synthetic_exact,rank_one_residual,rank_1,81,40,41,0.49382716049382713,persistence,True,1.2539184952976972,8.623426889776976e-28,2.9365671948343856e-14,1.0,"{""last_value"": 2.9873632717245846e-14}"
synthetic_exact,rank_one_residual,rank_1,81,40,41,0.49382716049382713,local_linear,False,1.2539184912183965,5.597125437794998e-19,7.481393879348508e-10,0.000559712543779017,"{""bandwidth"": 1.5, ""intercept_at_last_checkpoint"": -2.650034045735738e-11, ""slope"": -3.007551318703053e-11, ""validation_mse"": 6.6880784255033e-14}"
synthetic_exact,rank_one_residual,rank_1,81,40,41,0.49382716049382713,power_law,False,0.0015718359755252545,4.7127848444116196e-06,0.0021708949408969333,4712784844.407555,"{""amplitude"": 20126.33623308409, ""endpoint"": -0.0021738566744038193, ""endpoint_constrained"": true, ""power"": 5.547013558396012, ""time_shift"": 5.957722660162223}"
synthetic_exact,rank_one_residual,rank_1,81,40,41,0.49382716049382713,rank_1,False,8.881784197001252e-16,3.27709017099643e-33,5.724587470723656e-17,3.2770901709936034e-18,"{""amplitudes"": [0.9999999999999997], ""endpoint"": -5.724587470723463e-17, ""modes"": [0.45]}"
synthetic_exact,rank_one_residual,rank_1,81,40,41,0.49382716049382713,rank_2,False,0.0,1.2134110966023526e-32,1.1015494072452788e-16,1.213411096601306e-17,"{""amplitudes"": [-3.552713678800501e-15, 1.0000000000000044], ""endpoint"": -1.1015494072452725e-16, ""modes"": [0.4, 0.45]}"
synthetic_exact,rank_one_residual,rank_1,81,48,33,0.5925925925925926,persistence,True,1.2539184952978057,2.41763445148589e-33,4.9169446320717196e-17,1.0,"{""last_value"": 5.023288800139664e-17}"
synthetic_exact,rank_one_residual,rank_1,81,48,33,0.5925925925925926,local_linear,False,1.2539184893017168,5.442829297936564e-19,7.377553319317024e-10,0.0005442829297936564,"{""bandwidth"": 1.5, ""intercept_at_last_checkpoint"": -3.2348622316010875e-11, ""slope"": -3.6405521407312057e-11, ""validation_mse"": 9.392561926613063e-17}"
synthetic_exact,rank_one_residual,rank_1,81,48,33,0.5925925925925926,power_law,False,0.0016026993153557178,3.197874734549822e-06,0.0017882602535844222,3197874734.549822,"{""amplitude"": 20114.658293655088, ""endpoint"": -0.0017899119544398517, ""endpoint_constrained"": true, ""power"": 5.547013558396012, ""time_shift"": 5.957722660162223}"
synthetic_exact,rank_one_residual,rank_1,81,48,33,0.5925925925925926,rank_1,False,1.1102230246251565e-15,1.925929944387236e-34,1.3877787807814457e-17,1.9259299443872356e-19,"{""amplitudes"": [0.9999999999999996], ""endpoint"": -1.3877787807814457e-17, ""modes"": [0.45]}"
synthetic_exact,rank_one_residual,rank_1,81,48,33,0.5925925925925926,rank_2,False,0.0,1.3828029428202186e-31,3.718605844695319e-16,1.3828029428202184e-16,"{""amplitudes"": [0.9999999999999994, 1.2490009027033011e-15], ""endpoint"": -3.7990444123892075e-16, ""modes"": [0.45, 0.92]}"
synthetic_exact,rank_one_residual,rank_1,81,56,25,0.691358024691358,persistence,True,1.2539184952978057,6.740179142386432e-39,8.209859403416377e-20,1.0,"{""last_value"": 8.446723104767067e-20}"
synthetic_exact,rank_one_residual,rank_1,81,56,25,0.691358024691358,local_linear,False,1.2539184869964706,4.495713407166122e-19,6.705008133601422e-10,0.00044957134071661216,"{""bandwidth"": 1.5, ""intercept_at_last_checkpoint"": -3.819989348524231e-11, ""slope"": -4.283848665747502e-11, ""validation_mse"": 1.475359780268963e-19}"
synthetic_exact,rank_one_residual,rank_1,81,56,25,0.691358024691358,power_law,False,0.0016243820576910023,2.3099905843487638e-06,0.001519865317832065,2309990584.3487635,"{""amplitude"": 20106.474945082147, ""endpoint"": -0.001520891966857979, ""endpoint_constrained"": true, ""power"": 5.547013558396012, ""time_shift"": 5.957722660162223}"
synthetic_exact,rank_one_residual,rank_1,81,56,25,0.691358024691358,rank_1,False,4.440892098500626e-16,1.0863448592559252e-33,3.2959746043559335e-17,1.0863448592559252e-18,"{""amplitudes"": [1.0], ""endpoint"": 3.2959746043559335e-17, ""modes"": [0.45]}"
