seed,global_step,epoch,training_loss,elapsed_seconds,solver_uncertainty,verifier_uncertainty,uncertainty_gap,solver_normalized_uncertainty,verifier_normalized_uncertainty,normalized_uncertainty_gap,solver_mean_token_count,verifier_mean_token_count,solver_accuracy,verifier_accuracy,accuracy_gap,mean_selected_verifier_score,fallback_fraction,candidate_accuracy,verifier_judgment_accuracy,verifier_brier_score,mean_score_correct_candidates,mean_score_incorrect_candidates
20260719,0,0.0,,118.13503050804138,10.305311580654234,10.1640374683775,0.14127411227673292,0.381811395753175,0.32738874526694417,0.05442265048623085,14.5,16.625,0.5,0.625,0.125,0.47171355531727766,0.5,0.5416666666666666,0.625,0.3217540526578713,0.3963907382914102,0.19257518774185833
20260719,2,0.25,0.44599806517362595,163.8764727115631,10.332102621439844,10.296615833882242,0.03548678755760193,0.38688365230336785,0.33006286388263106,0.05682078842073679,14.5,17.5,0.5,0.75,0.25,0.5439780070765943,0.375,0.5833333333333334,0.625,0.32334542357239726,0.4136248721260821,0.21928181255131057
20260719,4,0.5,0.32401326671242714,211.85720038414001,10.264348268974572,10.098214807454497,0.1661334615200758,0.3789743850938976,0.32664948841556907,0.052324896678328514,14.5,16.125,0.5,0.75,0.25,0.558784491425153,0.375,0.5833333333333334,0.625,0.31932855634792134,0.42458914462033726,0.21701147616893177
20260719,6,0.75,1.0353026688098907,261.26616382598877,10.356969536282122,10.089014143683016,0.26795539259910583,0.3915769914165139,0.3248459007591009,0.066731090657413,14.5,16.125,0.5,0.75,0.25,0.5559405396641108,0.375,0.5833333333333334,0.625,0.3224690139466639,0.4153313087704355,0.2255350942389121
20260719,8,1.0,0.6523704156279564,308.67540287971497,10.297148267738521,10.072411878965795,0.22473638877272606,0.3835048610344529,0.3229643041267991,0.06054055690765381,14.5,16.125,0.5,0.75,0.25,0.5427874229803867,0.375,0.5833333333333334,0.625,0.3284144297869168,0.40308816805459957,0.20577972204567643
20260719,10,1.25,0.3656511604785919,355.8728609085083,10.415845025330782,10.265374852344394,0.1504701729863882,0.37874764343723655,0.32727623684331775,0.0514714065939188,14.375,16.125,0.5,0.75,0.25,0.48638310241235894,0.375,0.5416666666666666,0.6666666666666666,0.2691748363141004,0.4266499744865682,0.15741338858529275
20260719,12,1.5,0.2734992131590843,403.3474586009979,2.3940058182924986,6.251887657679617,-3.857881839387119,0.3334132148884237,0.40984898852184415,-0.07643577363342047,6.875,14.0,0.375,0.625,0.25,0.5560619557847384,0.375,0.4583333333333333,0.6666666666666666,0.30672656442191104,0.4502655925728431,0.22790095128011512
20260719,14,1.75,0.8137470334768295,452.1252074241638,2.3685386748984456,6.040764172561467,-3.672225497663021,0.329697220120579,0.37046558735892177,-0.04076836723834276,6.875,14.125,0.375,0.625,0.25,0.5515479718870975,0.375,0.4583333333333333,0.6666666666666666,0.3112056944125474,0.44130826367023945,0.22748617596094448
20260719,16,2.0,0.7466843724250793,501.9479093551636,2.344315445050597,6.039127299562097,-3.6948118545114994,0.32627790002152324,0.36931574111804366,-0.043037841096520424,6.875,14.125,0.375,0.625,0.25,0.5483627333555186,0.375,0.4583333333333333,0.6666666666666666,0.3098905965264303,0.4398526711923109,0.22614524007060055
20260719,18,2.25,0.13714056462049484,550.8717601299286,2.298133151140064,6.028939637821168,-3.7308064866811037,0.3200119002722204,0.36753520695492625,-0.04752330668270588,6.875,14.125,0.375,0.625,0.25,0.5510744321198439,0.375,0.4583333333333333,0.6666666666666666,0.3112114013049697,0.4397898581775213,0.22629819038233587
20260719,20,2.5,1.0184513330459595,602.3233869075775,2.2594081885181367,6.035715132486075,-3.7763069439679384,0.31499510118737817,0.36772113805636764,-0.05272603686898947,6.875,14.125,0.375,0.625,0.25,0.5485211737507676,0.375,0.4583333333333333,0.6666666666666666,0.3045417070607425,0.44902849279440393,0.22377914163781268
20260719,22,2.75,0.1915251389145851,651.342942237854,2.2547848066315055,6.023339429870248,-3.7685546232387424,0.3142258459702134,0.3655857630074024,-0.05135991703718901,6.875,14.125,0.375,0.625,0.25,0.5530883457753186,0.375,0.4583333333333333,0.6666666666666666,0.30731111911927883,0.44677157252155286,0.2269920425330097
20260719,24,3.0,0.8763093650341034,699.2054495811462,2.253430733922869,6.02261223224923,-3.769181498326361,0.3141965395770967,0.3656629822216928,-0.0514664426445961,6.875,14.125,0.375,0.625,0.25,0.5510611059521346,0.375,0.4583333333333333,0.6666666666666666,0.311131889604009,0.4409431630045979,0.22612226915346445
20260719,26,3.25,0.2037065327167511,747.1934943199158,2.2329118652269244,9.70292857196182,-7.470016706734896,0.3112359009683132,0.4334221100434661,-0.12218620907515287,6.875,18.25,0.375,0.5,0.125,0.5502424190343894,0.375,0.4583333333333333,0.625,0.3333455085720201,0.3753081254596338,0.2251612769488598
20260719,28,3.5,0.8032465875148773,794.7198688983917,2.2269869837909937,9.689182437956333,-7.4621954541653395,0.3105506794527173,0.43282695952802896,-0.12227628007531166,6.875,18.25,0.375,0.5,0.125,0.546796689238716,0.375,0.4583333333333333,0.625,0.33545002497194415,0.37046623141086454,0.22466646426677642
20260719,30,3.75,1.0365961790084839,842.9161465167999,2.234388875309378,9.683300866279751,-7.448911990970373,0.3117097453214228,0.4340734495781362,-0.12236370425671339,6.875,18.25,0.375,0.5,0.125,0.5490272174205982,0.375,0.4583333333333333,0.625,0.33989661085692585,0.3647614896025127,0.2264112403607545
20260719,32,4.0,0.10965013317763805,889.313093662262,2.2304866607300937,9.679853979032487,-7.449367318302393,0.3112547737546265,0.4343639840371907,-0.12310921028256416,6.875,18.25,0.375,0.5,0.125,0.5443961834853364,0.375,0.4583333333333333,0.625,0.340187104902002,0.3626829442211929,0.22312665320751815
20260719,36,4.5,0.4236490046605468,940.5602765083313,2.2015254055149853,9.689474124927074,-7.487948719412088,0.30758273927494884,0.43612293200567365,-0.1285401927307248,6.875,18.25,0.375,0.5,0.125,0.5448586249015573,0.375,0.4583333333333333,0.625,0.3404219914871039,0.3617954197752843,0.22414904457630128
20260719,40,5.0,0.6160744372755289,990.4696171283722,2.292164662387222,9.669999749865383,-7.377835087478161,0.3205130393616855,0.4349566991440952,-0.11444365978240967,6.875,18.25,0.5,0.5,0.0,0.5380368302034575,0.5,0.5,0.4583333333333333,0.3827318460794386,0.32460566216766445,0.23887982171560862
20260719,44,5.5,0.46610615961253643,1040.378210067749,2.272466953843832,9.832293778657913,-7.559826824814081,0.317736872471869,0.43599546514451504,-0.11825859267264605,6.875,19.5,0.5,0.5,0.0,0.5222304572623383,0.5,0.4583333333333333,0.4166666666666667,0.42366653254046743,0.2633626050441553,0.29347242846443317
20260719,48,6.0,0.6874466501176357,1091.0134449005127,2.2668363875709474,9.82402661209926,-7.557190224528313,0.31676472211256623,0.4351659300737083,-0.11840120796114206,6.875,19.5,0.5,0.5,0.0,0.5203609616509376,0.5,0.4583333333333333,0.4166666666666667,0.4259909633686112,0.2571732290989532,0.29347312973544587
20260719,52,6.5,0.5309571400284767,1141.44908285141,2.272927693091333,9.611656532622874,-7.338728839531541,0.3172270515933633,0.4304873589426279,-0.11326030734926462,6.875,18.25,0.5,0.5,0.0,0.5329769685799655,0.5,0.5,0.4583333333333333,0.3857383792960956,0.31907043015637243,0.23501858115404772
20260719,56,7.0,0.4661835990846157,1193.8610033988953,2.245536359027028,9.765359161421657,-7.5198228023946285,0.3136241678148508,0.4315119031816721,-0.11788773536682129,6.875,19.5,0.5,0.5,0.0,0.5271507089708094,0.5,0.4583333333333333,0.4166666666666667,0.42667886279421313,0.2627107657011095,0.29543074502368144
20260719,60,7.5,0.610752061009407,1244.9664311408997,2.214028720743954,9.54867500346154,-7.334646282717586,0.3093757089227438,0.4278938574716449,-0.11851814854890108,6.875,18.25,0.5,0.5,0.0,0.5361692363137286,0.5,0.4583333333333333,0.5,0.360778370221498,0.32971072809986796,0.21989054150782192
20260719,64,8.0,0.4272309448570013,1298.1402850151062,2.206659813877195,9.551129152532667,-7.344469338655472,0.3083646227605641,0.4280930352397263,-0.11972841247916222,6.875,18.25,0.5,0.5,0.0,0.5297734367320606,0.5,0.4583333333333333,0.5,0.3634566497614285,0.3217739397023816,0.21800880311891319
