arm,round,n,quality_mean,quality_se,entropy_mean,entropy_se,coverage_mean,coverage_se,unique_fraction_mean,unique_fraction_se,population_fraction_mean,population_fraction_se
raw_replace,0,16,0.8698934896284056,0.0,0.8647869792568111,0.0,1.0,0.0,0.875,0.0,1.0,0.0
raw_replace,1,16,0.8889384632050936,0.01477432540909047,0.8533977597435205,0.01221688467914817,0.9921875,0.0053369535239372904,0.9244791666666666,0.020205379938823775,1.0,0.0
raw_replace,2,16,0.8980803914264107,0.016061863094486598,0.8535656741571693,0.014610546304629806,0.9765625,0.009674049802607661,0.9425951086956522,0.019342334230647438,0.9973958333333334,0.0026041666666666644
raw_replace,3,16,0.8992613364659321,0.01671882308994446,0.8584185062651974,0.015658575275587904,0.96875,0.01141088661469096,0.9401041666666666,0.01975279442842155,1.0,0.0
raw_replace,4,16,0.9045821966956448,0.01828795285126219,0.8638518933912895,0.01708272360140994,0.953125,0.012103072956898178,0.9453125,0.02175687351479732,1.0,0.0
raw_replace,5,16,0.8894642945502619,0.019457058114077313,0.8570535891005238,0.01830655135143107,0.94921875,0.01303384766275229,0.921875,0.022782117642117013,1.0,0.0
raw_replace,6,16,0.8757336924465071,0.022688861212055385,0.8452173848930142,0.02067054483845067,0.9375,0.015095184110613998,0.90625,0.027559909490256152,1.0,0.0
raw_replace,7,16,0.8807318667444886,0.019473252980170414,0.8500054001556437,0.01914471395913998,0.9375,0.015095184110613998,0.9114583333333334,0.023715557384068314,1.0,0.0
raw_replace,8,16,0.890275994627801,0.017280928129614927,0.8534686559222688,0.018157061616552894,0.93359375,0.015592413937419483,0.9270833333333334,0.021006227030908577,1.0,0.0
raw_replace,9,16,0.8803330385761367,0.0193431727840791,0.8519251351232877,0.018274741963336203,0.9296875,0.014959798558692783,0.9087409420289855,0.025844533210364888,0.9973958333333334,0.0026041666666666644
raw_replace,10,16,0.8776971392306339,0.018617615162289446,0.8518616697656155,0.017781729439419375,0.9296875,0.014959798558692783,0.9035326086956522,0.024254680154184315,0.9973958333333334,0.0026041666666666644
anchored,0,16,0.8698934896284056,0.0,0.8647869792568111,0.0,1.0,0.0,0.875,0.0,1.0,0.0
anchored,1,16,0.8604043545220966,0.015296157942380465,0.8926837090441934,0.007801292328584366,1.0,0.0,0.828125,0.024317953187351568,1.0,0.0
anchored,2,16,0.8741293413253649,0.016377230430685872,0.9123211826507298,0.007913588022055107,1.0,0.0,0.8359375,0.027813020178239993,1.0,0.0
anchored,3,16,0.8575313315448683,0.020280415680306606,0.9155834964230699,0.007334896579996381,1.0,0.0,0.7994791666666666,0.035927434178081384,1.0,0.0
anchored,4,16,0.8436764517920149,0.02469245641226445,0.9113112369173632,0.007966317445989713,1.0,0.0,0.7760416666666666,0.04530551510659683,1.0,0.0
anchored,5,16,0.8460732697264381,0.02338170650620673,0.9161048727862096,0.006927720725303272,1.0,0.0,0.7760416666666666,0.0418183004751464,1.0,0.0
anchored,6,16,0.8178648828417524,0.01896199130974742,0.9091672656835047,0.0062511733681158655,1.0,0.0,0.7265625,0.034646184103255394,1.0,0.0
anchored,7,16,0.7842207916306161,0.017367083202639307,0.9095874165945653,0.007024101958058159,1.0,0.0,0.6588541666666666,0.02976050963992011,1.0,0.0
anchored,8,16,0.7669393875060171,0.020315424925948684,0.8984621083453675,0.007989451371819275,1.0,0.0,0.6354166666666666,0.03370023766264147,1.0,0.0
anchored,9,16,0.744869149942881,0.015447213929491308,0.8933841332190953,0.008872970516602824,1.0,0.0,0.5963541666666666,0.024271429415665444,1.0,0.0
anchored,10,16,0.738665298473447,0.013896034340697704,0.8966014302802272,0.006499772563578333,1.0,0.0,0.5807291666666666,0.023895978639488464,1.0,0.0
verified,0,16,0.8698934896284056,0.0,0.8647869792568111,0.0,1.0,0.0,0.875,0.0,1.0,0.0
