run_id,seed,first_accuracy_10_step,first_accuracy_25_step,first_accuracy_50_step,first_accuracy_75_step,first_accuracy_90_step,observed_25_90_width_steps,observed_50_90_width_steps
confirm-seed20260800,20260800,350.0,2250.0,4300.0,4650.0,4900.0,2650.0,600.0
confirm-seed20260801,20260801,350.0,1800.0,3900.0,4250.0,4650.0,2850.0,750.0
confirm-seed20260802,20260802,3600.0,9800.0,13450.0,14100.0,14500.0,4700.0,1050.0
confirm-seed20260803,20260803,250.0,500.0,4950.0,5550.0,6050.0,5550.0,1100.0
confirm-seed20260804,20260804,3950.0,10050.0,11800.0,12700.0,13050.0,3000.0,1250.0
confirm-seed20260805,20260805,300.0,900.0,5100.0,5650.0,6050.0,5150.0,950.0
