run_id,seed,baseline_accuracy,endpoint_accuracy,kernel_center_step,kernel_sd_steps,kernel_effective_checkpoints,kernel_10_90_width_steps,checkpoint_spacing,logistic_width_steps,logistic_vs_delta_bic,mixture_vs_logistic_bic,best_heldout_transition_model
confirm-seed20260800,20260800,0.00859325270528326,0.9987269255251432,3528.576020572164,1650.1928130011731,21.923636658338143,4505.0281647746815,50.0,415.27670175834106,135.84127848566862,96.04150451133012,mixture
confirm-seed20260801,20260801,0.008168894546997665,1.0,3279.4630441758477,1610.4862941999672,19.379804340351,4262.0166086858935,50.0,375.7703026737756,115.3189446105182,78.59961683938661,mixture
confirm-seed20260802,20260802,0.006471461913855293,0.9968809675366009,11597.714126569263,4119.362723526787,23.917211597607906,9611.111245738823,50.0,1526.3729851988662,368.12267585294853,357.0413933873722,mixture
confirm-seed20260803,20260803,0.010184595798854232,0.997347761510715,3914.3471252015047,2312.7489838521255,23.171851596160305,5810.407721280602,50.0,362.1288246395269,121.22734361553819,114.36136374586374,mixture
confirm-seed20260804,20260804,0.005092297899427116,0.9958625079567155,10666.22229360745,3438.476440142678,29.50111550021403,7865.014088124132,50.0,945.6323876173766,415.49758892392833,207.58240195804797,mixture
confirm-seed20260805,20260805,0.009229789942711649,1.0,4054.722132990684,2259.1451783637544,29.873377816570166,5750.789323222292,50.0,348.24570534513373,148.88344192767477,149.65120565941072,mixture
