mode,rho,problems,initial_fitness,terminal_fitness,fitness_gain,terminal_accuracy,terminal_distinct_fraction,recursive_minus_restart,recursive_minus_restart_ci_low,recursive_minus_restart_ci_high,recursive_minus_frozen,recursive_minus_frozen_ci_low,recursive_minus_frozen_ci_high
recursive,-6.0,8,0.10378787878787879,0.05416666666666667,-0.04962121212121212,0.0,0.5,-0.025781249999999995,-0.052343749999999994,0.0,0.0125,-0.009374999999999998,0.046875
recursive,0.0,8,0.10378787878787879,0.06780303030303031,-0.03598484848484848,0.0,0.40625,0.003574810606060609,-0.02526041666666666,0.030776515151515152,-0.08290381493506493,-0.18828124999999998,0.008451704545454554
recursive,2.0,8,0.10378787878787879,0.39889069264069266,0.2951028138528139,0.25,0.28125,0.1853135146103896,-0.22244318181818182,0.5663873528814936,0.2589048971861472,0.05083198051948052,0.5151544744318174
restart,-6.0,8,0.10378787878787879,0.07994791666666666,-0.02383996212121213,0.0,0.5625,,,,,,
restart,0.0,8,0.10378787878787879,0.0642282196969697,-0.0395596590909091,0.0,0.65625,,,,,,
restart,2.0,8,0.10378787878787879,0.21357717803030302,0.10978929924242423,0.125,0.65625,,,,,,
frozen,-6.0,8,0.10378787878787879,0.04166666666666667,-0.06212121212121212,0.0,0.5625,,,,,,
frozen,0.0,8,0.10378787878787879,0.15070684523809524,0.046918966450216454,0.0,0.625,,,,,,
frozen,2.0,8,0.10378787878787879,0.13998579545454545,0.03619791666666666,0.0,0.6875,,,,,,
