injection_step,lag,mean_absolute_derivative,normalized_mass,mean_signed_derivative
50,0,0.052224695682525635,0.0008820299408398569,0.01812070608139038
50,1,0.09085431694984436,0.0015344507992267609,0.030844658613204956
50,2,0.09871065616607666,0.0016671376070007682,0.042686015367507935
50,3,0.09734503924846649,0.0016440735198557377,0.060639455914497375
50,4,0.13598494231700897,0.0022966680116951466,0.04645131528377533
50,5,0.09803302586078644,0.0016556930495426059,0.008926764130592346
50,6,0.0715712457895279,0.0012087764916941524,0.0042676180601119995
50,7,0.08146338164806366,0.0013758460991084576,0.026005879044532776
50,8,0.12165389955043793,0.00205462914891541,0.08957885205745697
50,9,0.30431583523750305,0.0051396312192082405,0.2623872458934784
50,10,0.43049097061157227,0.007270620204508305,-0.2650308609008789
50,11,0.23299947381019592,0.003935159649699926,0.19857972860336304
50,12,0.5402258038520813,0.00912394654005766,0.503993034362793
50,13,0.5757536888122559,0.009723981842398643,0.49993059039115906
50,14,0.17472006380558014,0.0029508706647902727,0.0565095990896225
50,15,0.23698776960372925,0.0040025184862315655,-0.16802161931991577
50,16,0.2411523461341858,0.00407285476103425,-0.15825524926185608
50,17,0.41623854637145996,0.007029909174889326,0.055802688002586365
50,18,0.717460036277771,0.012117279693484306,0.3833865523338318
50,19,0.7485743165016174,0.012642772868275642,0.5728296637535095
50,20,0.6298461556434631,0.01063755713403225,0.4486873745918274
50,21,0.5140212774276733,0.008681374602019787,-0.08281998336315155
50,22,0.7210188508033752,0.012177384458482265,-0.30248305201530457
50,23,0.4423444867134094,0.007470815908163786,-0.22090785205364227
50,24,0.3825806975364685,0.006461456883698702,-0.04516236484050751
50,25,0.7246397733688354,0.012238538824021816,0.5134158134460449
50,26,1.244121789932251,0.021012140437960625,1.0112488269805908
50,27,1.757387399673462,0.029680753126740456,1.4058222770690918
50,28,1.3087365627288818,0.022103428840637207,0.94814133644104
50,29,1.4485282897949219,0.02446438930928707,1.0046887397766113
50,30,1.1594293117523193,0.019581757485866547,0.3274573087692261
50,31,1.3392829895019531,0.022619331255555153,-0.7056644558906555
50,32,2.3964614868164062,0.04047416150569916,-1.9049577713012695
50,33,2.956693649291992,0.049935996532440186,-2.461212158203125
