condition,step,epoch_equivalent,available_source_bits,information_lower_bound_bits,information_ci_low,information_ci_high,information_increment_proxy_bits,code_accuracy,code_loss_nats
closed,0,0.0,16,-0.03181720743937076,-0.062332408332509026,-0.003970511894472885,0.0,0.482421875,3.6315789222717285
closed,1,0.25,16,0.1392174387108589,0.08521193731602765,0.20305072857284776,0.17103464615022967,0.54931640625,3.153472900390625
closed,2,0.5,16,0.187182499908774,0.1221145949617772,0.24993642536131377,0.047965061197915104,0.55908203125,2.9077224731445312
closed,4,1.0,16,0.19592832541292207,0.12941919296888818,0.25950589370737426,0.00874582550414807,0.552734375,2.6175403594970703
closed,8,2.0,16,0.26577966732311104,0.19580509956660747,0.3493169684082885,0.06985134191018896,0.5751953125,1.9995691776275635
closed,16,4.0,16,0.40649444349667835,0.30526474448012275,0.5076032050441291,0.1407147761735673,0.58447265625,1.1721827983856201
closed,32,8.0,16,0.3673105614180396,0.25983852858466255,0.47341370849868664,-0.039183882078638765,0.57568359375,0.7672756910324097
closed,64,16.0,16,6.0244222391403035,5.309925311481386,6.815948035731121,5.657111677722264,0.83251953125,0.4634752869606018
closed,128,32.0,16,11.994101719546038,11.741174565731358,12.189113012359922,5.969679480405734,0.99658203125,0.023283110931515694
closed,192,48.0,16,12.203824457209711,12.161571343523512,12.244364184101633,0.20972273766367344,1.0,0.006277497857809067
closed,256,64.0,16,12.148348021062969,12.099531415126677,12.187873849638356,-0.05547643614674236,1.0,0.004028161522001028
closed,320,80.0,16,12.24171270547346,12.205042277125832,12.281084012469835,0.09336468441049206,1.0,0.0027643395587801933
closed,400,100.0,16,12.175784136943872,12.137000936336982,12.212632848812717,-0.06592856852958917,1.0,0.0019990415312349796
open,0,0.0,16,-0.03181720743937076,-0.061178532150302264,-2.89694989460662e-05,0.0,0.482421875,3.6315789222717285
open,1,0.25,16,0.10670575013351724,0.04530804288414638,0.17130026342749316,0.13852295757288802,0.54052734375,3.1875905990600586
open,2,0.5,16,0.186410950881989,0.11742702227283713,0.26374449624648594,0.07970520074847176,0.55322265625,2.939044952392578
open,4,1.0,16,0.22459316696764553,0.14611885260567947,0.3112110033304845,0.03818221608565653,0.55517578125,2.593329429626465
open,8,2.0,16,0.29489514566555586,0.20930349129362882,0.3824764166567519,0.07030197869791033,0.56884765625,2.0037827491760254
open,16,4.0,16,0.4334511135634852,0.33517267103808085,0.5389208528354767,0.13855596789792934,0.583984375,1.1825981140136719
open,32,8.0,17,0.3437259482918599,0.24171071361085714,0.46743911940771543,-0.08972516527162533,0.5666360294117647,0.7795979976654053
open,64,16.0,19,9.573924352139283,8.64585791726044,10.464392839412763,9.230198403847423,0.8844572368421053,0.4044254720211029
open,128,32.0,22,16.866191105135762,16.348742524610838,17.378870197432047,7.292266752996479,0.98828125,0.06470116227865219
open,192,48.0,25,21.226621783800436,20.70942559921755,21.661464938705688,4.360430678664674,0.9924999999999999,0.042817533016204834
open,256,64.0,28,25.678751767874864,25.35988027892495,25.97672377117791,4.452129984074428,0.9986049107142858,0.02170605957508087
open,320,80.0,31,29.721717799189495,29.22002297337723,30.141717651234835,4.042966031314631,0.9954637096774194,0.03029332123696804
open,400,100.0,32,31.99853416545431,31.99583271629268,31.999996850456046,2.276816366264814,1.0,0.004064613953232765
