condition,step,epoch_equivalent,available_source_bits,direct_information_lower_bound_bits,direct_information_ci_low,direct_information_ci_high,direct_decoder_accuracy,crossfit_information_lower_bound_bits,code_loss_nats
closed,0,0.0,16,-0.0038096996851098783,-0.03166977970767384,0.026864295329713152,0.5048828125,-0.03181720743937076,3.6315789222717285
closed,1,0.25,16,0.0681712661783346,-0.14022485461283657,0.2720735026316534,0.54833984375,0.1392174387108589,3.153472900390625
closed,2,0.5,16,0.09382090702945993,-0.1288566031782806,0.3012173157729366,0.5615234375,0.187182499908774,2.9077224731445312
closed,4,1.0,16,0.09405952775102597,-0.11668728202589716,0.29746456732367627,0.5625,0.19592832541292207,2.6175403594970703
closed,8,2.0,16,0.1661096037678279,-0.01817550259965609,0.37091148069523155,0.5693359375,0.26577966732311104,1.9995691776275635
closed,16,4.0,16,0.42531760915860806,0.2775750618139351,0.5846625527101434,0.58349609375,0.40649444349667835,1.1721827983856201
closed,32,8.0,16,0.25263548050172835,0.055540037574444596,0.4623080725963924,0.58056640625,0.3673105614180396,0.7672756910324097
closed,64,16.0,16,7.1327826713055575,6.2477862700097795,8.066357005683923,0.83642578125,6.0244222391403035,0.4634752869606018
closed,128,32.0,16,15.674628903972431,15.306239906027852,15.876103320256519,0.99658203125,11.994101719546038,0.023283110931515694
closed,192,48.0,16,15.95570256388867,15.953627240230995,15.957639488009413,1.0,12.203824457209711,0.006277497857809067
closed,256,64.0,16,15.974218523198154,15.97286166102681,15.975469283339113,1.0,12.148348021062969,0.004028161522001028
closed,320,80.0,16,15.983264103065038,15.982527202178884,15.983941240092339,1.0,12.24171270547346,0.0027643395587801933
closed,400,100.0,16,15.98873331043055,15.988203107989179,15.989217584166193,1.0,12.175784136943872,0.0019990415312349796
open,0,0.0,16,-0.0038096996851098783,-0.03343674063458266,0.024944795878044802,0.5048828125,-0.03181720743937076,3.6315789222717285
open,1,0.25,16,-0.03957199934431756,-0.22086484148487337,0.15373833666932538,0.55908203125,0.10670575013351724,3.1875905990600586
open,2,0.5,16,0.013120857777874265,-0.1860132447982492,0.20173771466069995,0.5517578125,0.186410950881989,2.939044952392578
open,4,1.0,16,-0.05415648117218307,-0.2705675630349355,0.16511801666594086,0.55859375,0.22459316696764553,2.593329429626465
open,8,2.0,16,0.14962739113564325,-0.023519258533801317,0.336076741587651,0.5703125,0.29489514566555586,2.0037827491760254
open,16,4.0,16,0.34319456302534984,0.18685169330814916,0.5093754696789278,0.587890625,0.4334511135634852,1.1825981140136719
open,32,8.0,17,0.037265288689126166,-0.17454391576897793,0.256061198734143,0.5625,0.3437259482918599,0.7795979976654053
open,64,16.0,19,9.878388604682753,8.939213705207173,10.806768297624005,0.884046052631579,9.573924352139283,0.4044254720211029
open,128,32.0,22,20.541474345812915,20.00599478746795,21.000300327403217,0.98828125,16.866191105135762,0.06470116227865219
open,192,48.0,25,23.804340404796168,22.956842207815576,24.40735442976226,0.99375,21.226621783800436,0.042817533016204834
open,256,64.0,28,27.563541268277604,27.386990011735808,27.71668077747703,0.9988839285714286,25.678751767874864,0.02170605957508087
open,320,80.0,31,30.182324511369544,29.706139543300203,30.560608046652966,0.9942036290322581,29.721717799189495,0.03029332123696804
open,400,100.0,32,31.91136467288498,31.85902823792194,31.946703095872003,0.999755859375,31.99853416545431,0.004064613953232765
