seed,global_step,epoch,training_loss,elapsed_seconds,solver_uncertainty,verifier_uncertainty,uncertainty_gap,solver_normalized_uncertainty,verifier_normalized_uncertainty,normalized_uncertainty_gap,solver_mean_token_count,verifier_mean_token_count,solver_accuracy,verifier_accuracy,accuracy_gap,mean_selected_verifier_score,fallback_fraction,candidate_accuracy,verifier_judgment_accuracy,verifier_brier_score,mean_score_correct_candidates,mean_score_incorrect_candidates
20260718,0,0.0,,113.56468677520752,5.522214213502593,10.407955620554276,-4.8857414070516825,0.4912228648317978,0.2506378855323419,0.24058497929945588,8.375,17.5,0.5,0.875,0.375,0.6414237504649087,0.375,0.7083333333333334,0.5,0.34359183108428376,0.46406569380420143,0.151988472403315
20260718,4,0.5,0.23694427497684956,160.26984643936157,5.626595639623702,3.495792159345001,2.1308034802787006,0.5046221660450101,0.19379003625363111,0.310832129791379,8.375,14.875,0.5,0.875,0.375,0.683577266226618,0.375,0.7083333333333334,0.4583333333333333,0.36879299865783305,0.4817349171969152,0.2967327166047609
20260718,8,1.0,0.524123365059495,207.13668012619019,5.893778977915645,4.5404668198898435,1.3533121580258012,0.5533918868750334,0.16148781031370163,0.39190407656133175,8.0,17.25,0.5,0.875,0.375,0.6902845768228643,0.25,0.7083333333333334,0.625,0.30097427803088955,0.5109924269555461,0.1576892651425526
20260718,12,1.5,0.5501224007457495,254.13534283638,5.687545619439334,4.43929613661021,1.2482494828291237,0.5308150253258646,0.14786896691657603,0.3829460584092885,7.875,17.125,0.5,0.875,0.375,0.6946892340304045,0.25,0.7083333333333334,0.625,0.29239359595868053,0.527557246081288,0.15600476643187156
20260718,16,2.0,0.30720241367816925,297.6253933906555,1.6912623341195285,1.6235253885388374,0.0677369455806911,0.24043135973624885,0.20298065315000713,0.03745070658624172,9.125,10.875,0.75,0.75,0.0,0.5531891222115326,0.375,0.6666666666666666,0.625,0.30474213340147127,0.5043941916082766,0.14761773764270028
20260718,20,2.5,0.30430570989847183,341.21501874923706,1.5629175011999905,1.5536732380278409,0.009244263172149658,0.22652560682035983,0.19422606215812266,0.03229954466223717,9.0,10.875,0.75,0.75,0.0,0.5622072226263252,0.375,0.6666666666666666,0.625,0.296531806428247,0.5173569654712071,0.1525442313624671
20260718,24,3.0,0.45921093225479126,386.37141370773315,1.6014619297347963,1.5446306969970465,0.056831232737749815,0.22728443681262434,0.19370012520812452,0.03358431160449982,9.125,10.875,0.75,0.75,0.0,0.5757664092625703,0.375,0.6666666666666666,0.7083333333333334,0.2871841078460487,0.5308101868754405,0.15222891650796647
20260718,28,3.5,0.5204500388354063,436.3963487148285,1.5741537800058722,1.5984438839368522,-0.024290103930979967,0.22396502341143787,0.201804957119748,0.022160066291689873,9.125,10.875,0.75,0.75,0.0,0.5720302793103067,0.375,0.625,0.7083333333333334,0.21043090147421642,0.5615983333792527,0.024825505553373678
20260718,32,4.0,0.1991044683381915,482.6332383155823,1.5680308055598289,1.697053517214954,-0.12902271165512502,0.22149192704819143,0.21540085785090923,0.006091069197282195,9.25,11.0,0.75,0.75,0.0,0.5732655913444786,0.375,0.6666666666666666,0.75,0.22964437227425108,0.5351289237440984,0.03359197211619058
20260718,36,4.5,0.49254767410457134,528.7902784347534,1.5368077862076461,1.4587745778262615,0.07803320838138461,0.2166062626056373,0.17452916223555803,0.04207710037007928,9.25,11.125,0.75,0.75,0.0,0.582086045927297,0.375,0.6666666666666666,0.75,0.2283564262976403,0.542145817732863,0.04031876239819806
