injection_step,lag,mean_absolute_derivative,normalized_mass,mean_signed_derivative
5,0,0.016336292028427124,0.0782114754656806,-0.01005902886390686
5,1,0.02443131059408188,0.11696710892523339,-0.01539226621389389
5,2,0.027471482753753662,0.131522208078937,-0.016572028398513794
5,3,0.027772188186645508,0.1329618625333317,-0.015200227499008179
5,4,0.02466842532157898,0.11810231712669797,-0.012544095516204834
5,5,0.021168887615203857,0.10134796387523161,-0.010814070701599121
5,6,0.01762568950653076,0.08438458249931646,-0.010222047567367554
5,7,0.015764757990837097,0.07547520457379218,-0.010989531874656677
5,8,0.013416409492492676,0.06423227376406325,-0.011370182037353516
5,9,0.011072531342506409,0.05301074515137685,-0.010376796126365662
5,10,0.009145364165306091,0.04378425800633898,-0.009145364165306091
10,0,0.00862516462802887,0.054514075287957126,-0.0007364898920059204
10,1,0.013439282774925232,0.08494099586547246,-0.00213034451007843
10,2,0.015135630965232849,0.09566251330300718,-0.0037223845720291138
10,3,0.01544073224067688,0.0975908607163375,-0.004654824733734131
10,4,0.015680789947509766,0.0991081098899029,-0.005068928003311157
10,5,0.015640482306480408,0.09885335141600504,-0.004972293972969055
10,6,0.01593470573425293,0.10071294700458659,-0.0044761598110198975
10,7,0.015940293669700623,0.10074826472277945,-0.004360899329185486
10,8,0.015287399291992188,0.09662174252912535,-0.005001276731491089
10,9,0.014264807105064392,0.09015860009983141,-0.005445554852485657
10,10,0.012829750776290894,0.08108853916499496,-0.005537122488021851
