run_id,stage,seed,step,train_loss,train_accuracy,train_correct,train_count,test_loss,test_accuracy,test_correct,test_count,parameter_l2_norm,elapsed_seconds
pilot-f0.50-wd1,pilot,20260721,0,2.8353479173448353,0.0625,9,144,2.8425979088092674,0.06896551724137931,10,145,12.06840553512549,0.021331600000848994
pilot-f0.50-wd1,pilot,20260721,20,2.714262220594618,0.1736111111111111,25,144,2.9670496447332972,0.0,0,145,11.897893101297747,0.14901100000133738
pilot-f0.50-wd1,pilot,20260721,40,2.54716067843967,0.3055555555555556,44,144,3.110809957570043,0.0,0,145,11.788839850898995,0.25678209999750834
pilot-f0.50-wd1,pilot,20260721,60,2.324011484781901,0.3888888888888889,56,144,3.2414359257139007,0.0,0,145,11.713575851057175,0.3655215000035241
pilot-f0.50-wd1,pilot,20260721,80,2.101326200697157,0.4861111111111111,70,144,3.416581989156789,0.006896551724137931,1,145,11.651622061989258,0.4727405000012368
pilot-f0.50-wd1,pilot,20260721,100,1.8546829223632812,0.5833333333333334,84,144,3.5182408826104528,0.0,0,145,11.602865127487965,0.578101199993398
pilot-f0.50-wd1,pilot,20260721,120,1.6405084398057725,0.6388888888888888,92,144,3.5725308122306036,0.006896551724137931,1,145,11.563828596766285,0.6945702999946661
pilot-f0.50-wd1,pilot,20260721,140,1.393641471862793,0.7291666666666666,105,144,3.6026139884159485,0.020689655172413793,3,145,11.539876096182592,0.8213393999903928
pilot-f0.50-wd1,pilot,20260721,160,1.1964744991726346,0.7708333333333334,111,144,3.60696011247306,0.013793103448275862,2,145,11.521775713566008,0.9377870000025723
pilot-f0.50-wd1,pilot,20260721,180,1.0047441058688693,0.8333333333333334,120,144,3.646046184671336,0.027586206896551724,4,145,11.501971387964044,1.080365999994683
pilot-f0.50-wd1,pilot,20260721,200,0.81867339875963,0.9027777777777778,130,144,3.6389080179148707,0.05517241379310345,8,145,11.47003619564021,1.2211452999908943
