injection_step,lag,mean_absolute_derivative,normalized_mass,mean_signed_derivative
5,0,0.016520023345947266,0.07728683231101843,-0.0022917985916137695
5,1,0.024670250713825226,0.11541663653023505,-0.003345273435115814
5,2,0.027241557836532593,0.1274461705236942,-0.0035788118839263916
5,3,0.026763007044792175,0.12520733138775436,-0.003795251250267029
5,4,0.024708881974220276,0.11559736797846559,-0.003742203116416931
5,5,0.021972209215164185,0.10279419184547374,-0.003971457481384277
5,6,0.01858435571193695,0.08694454925629096,-0.004365071654319763
5,7,0.01605994999408722,0.07513443753218789,-0.004624947905540466
5,8,0.014146193861961365,0.066181172384165,-0.004578903317451477
5,9,0.012450814247131348,0.05824955405342993,-0.004397034645080566
5,10,0.01063227653503418,0.049741756197284846,-0.004315078258514404
10,0,0.009856820106506348,0.04349528556685474,0.00043764710426330566
10,1,0.01685522496700287,0.07437721448821466,0.0004299730062484741
10,2,0.021232739090919495,0.09369391346773771,5.2228569984436035e-05
10,3,0.02346515655517578,0.1035449236376572,-0.0003883242607116699
10,4,0.024155452847480774,0.10659100077360167,-0.0006528943777084351
10,5,0.024245455861091614,0.10698815794362013,-0.000856742262840271
10,6,0.023669376969337463,0.10444608903750867,-0.0008939951658248901
10,7,0.022633224725723267,0.09987384999492047,-0.0006349384784698486
10,8,0.02151384949684143,0.0949343720790619,-0.00041112303733825684
10,9,0.020153820514678955,0.08893295901489241,-4.2319297790527344e-05
10,10,0.018837004899978638,0.08312223399593045,0.00022664666175842285
