run_id,stage,seed,step,train_loss,train_accuracy,train_correct,train_count,test_loss,test_accuracy,test_correct,test_count,parameter_l2_norm,elapsed_seconds
confirm-seed20260800,confirmation,20260800,0,4.214583115836117,0.019302152932442463,26,1347,4.217089657264482,0.013685550604710375,43,3142,17.486694741770517,0.05707662899999377
confirm-seed20260800,confirmation,20260800,50,3.778325749930401,0.1432813659985152,193,1347,4.4527824882638445,0.004774029280712922,15,3142,17.092599205639072,0.9701679159999799
confirm-seed20260800,confirmation,20260800,100,3.248137861335375,0.2702301410541945,364,1347,4.681527490451941,0.00732017823042648,23,3142,17.03642522301134,1.881082236999987
confirm-seed20260800,confirmation,20260800,150,2.65405345936572,0.41276911655530807,556,1347,4.867695828443269,0.015595162316995544,49,3142,17.13728876637443,2.7912338909999903
confirm-seed20260800,confirmation,20260800,200,1.9827680580688567,0.5902004454342984,795,1347,4.999402003103119,0.03150859325270528,99,3142,17.331607702158273,3.6997604620000004
confirm-seed20260800,confirmation,20260800,250,1.355646191478749,0.7951002227171492,1071,1347,5.077350152669478,0.053787396562698916,169,3142,17.564945321005354,4.606962366000005
confirm-seed20260800,confirmation,20260800,300,0.83941600547513,0.9123979213066072,1229,1347,5.143444194830124,0.08179503500954806,257,3142,17.806446513168904,5.515052857000001
confirm-seed20260800,confirmation,20260800,350,0.4768639148918894,0.9896065330363771,1333,1347,5.225806301221356,0.10120942075111394,318,3142,18.008281937610114,6.423219685999982
confirm-seed20260800,confirmation,20260800,400,0.2894179720124582,0.9962880475129918,1342,1347,5.356059753689927,0.1098026734563972,345,3142,18.180009177152808,7.332109113999991
confirm-seed20260800,confirmation,20260800,450,0.16514076510445666,1.0,1347,1347,5.3505547011756045,0.13208147676639084,415,3142,18.32286205925685,8.235233367999996
confirm-seed20260800,confirmation,20260800,500,0.1159070304525102,1.0,1347,1347,5.422106242043284,0.1394016549968173,438,3142,18.469145727029687,9.14290527999998
confirm-seed20260800,confirmation,20260800,550,0.08299486461885788,1.0,1347,1347,5.427590004127546,0.15085932527052834,474,3142,18.651039250456677,10.048611070999982
confirm-seed20260800,confirmation,20260800,600,0.06961490033552571,1.0,1347,1347,5.599308200887174,0.14958625079567156,470,3142,18.94098940993949,10.951019755999994
confirm-seed20260800,confirmation,20260800,650,0.053302008749913,0.9992576095025983,1346,1347,5.621880408080044,0.1578612348822406,496,3142,19.244498054727927,11.861231156000002
confirm-seed20260800,confirmation,20260800,700,0.06712259180738736,1.0,1347,1347,5.796457894056333,0.15499681731381285,487,3142,19.700551726868582,12.767758670999996
confirm-seed20260800,confirmation,20260800,750,0.02651720393916458,1.0,1347,1347,5.694721030096276,0.1721833227243794,541,3142,19.928897156994886,13.676516719999995
confirm-seed20260800,confirmation,20260800,800,0.015757923933339277,1.0,1347,1347,5.632968837026575,0.17950350095480586,564,3142,19.870955843823026,14.586457284000005
confirm-seed20260800,confirmation,20260800,850,0.28311927529202624,0.9458054936896808,1274,1347,6.145291644702817,0.12476129853596435,392,3142,20.185273141251663,15.48826388499998
confirm-seed20260800,confirmation,20260800,900,0.03362045627925338,1.0,1347,1347,5.796273273392743,0.16422660725652452,516,3142,20.66085270010284,16.383649727999995
confirm-seed20260800,confirmation,20260800,950,0.015188024587425906,1.0,1347,1347,5.479887692204408,0.18586887332908975,584,3142,20.234692504142423,17.28665680399999
confirm-seed20260800,confirmation,20260800,1000,0.018616466054937622,1.0,1347,1347,5.346628248577737,0.18586887332908975,584,3142,20.073695368742158,18.187876456999987
