seed,injection_step,observed_horizon,effective_lag_count,peak_mass,last_fifty_lag_mass,endpoint_to_peak_ratio,late_log_magnitude_slope_per_update,signed_to_absolute_ratio
20260720,50,300,265.3328823663222,0.00869212576403907,0.11033190631100366,0.2666315821276779,-0.0006261334757058631,0.1758135187764131
20260720,150,300,156.43170582809404,0.038178093823191185,0.5252171940809293,0.13041418886126052,0.017056301068365247,0.5224981338203238
20260720,200,300,110.58473778611601,0.024858622980090752,0.4512696562939661,0.42718153668532494,0.03435768773276766,0.49522192735324655
20260720,300,300,194.7067311653841,0.009697035685853828,0.2487392478583057,0.5258586918906835,0.0001668718037039358,0.6353166774274989
20260720,400,300,227.33628753002728,0.010475967164090978,0.11306173477499629,0.21209400837100242,-0.004547872570498805,0.828244864969916
20260720,500,300,245.72008653306003,0.012242439432696017,0.13406196077525298,0.12886692285883516,0.0017702006771893502,0.7603427246247773
20260721,50,300,236.85641926461275,0.012360391438332678,0.3989758730875534,0.5477735519611964,0.009122714274470376,0.40620237627709704
20260721,150,300,116.75847181839367,0.0168276244741201,0.7038568318183586,0.8783804813448095,0.02734528869338547,0.44222042246976195
20260721,200,300,196.9727046377562,0.011653962596978016,0.2956514848738288,0.41796591251696874,0.011399053017618229,0.4017797048573824
20260721,300,300,225.9929895619735,0.007987771247679552,0.17509474946808604,0.4636973390395547,-0.004174758891437719,0.18907269477605432
20260721,400,300,283.6942482734982,0.005440525848720419,0.18500077076573646,0.750274511788675,-0.0016425612162696032,0.2531886540427246
20260721,500,300,200.07086228023633,0.01085745735982821,0.4394503782988853,0.8668869031563332,0.01531246257673866,0.6271345034225589
20260722,50,300,278.6069555709938,0.008218058562236763,0.25379914032819195,0.6096792093612478,0.004895092400920783,0.331389345460117
20260722,150,300,174.47551279005174,0.023640642362516576,0.39412051860109354,0.5309764189295949,0.013840362930698935,0.7742049253966007
20260722,200,300,227.9822722810925,0.016147174895285277,0.3270884860455174,0.37184244262067156,0.013345664796948879,0.5086001821575753
20260722,300,300,146.42373866025275,0.01290141417655232,0.5212528058105701,0.8566490634208725,0.01380053792791567,0.5127430536908246
20260722,400,300,172.74330905809956,0.008626840375704761,0.340290926421794,0.8534471445678458,0.0023359577768083317,0.2820006882798632
20260722,500,300,274.00767817294593,0.005595183227537482,0.14913639991383287,0.5027587574095933,-0.001728960843857423,0.21317252872859438
