seed,start_step,aggregation,js_divergence_bits,total_variation,wasserstein_lags,wasserstein_fraction_of_horizon,js_divergence_bits_control_median,js_divergence_bits_control_95th,total_variation_control_median,total_variation_control_95th,wasserstein_fraction_of_horizon_control_median,wasserstein_fraction_of_horizon_control_95th,js_exceeds_control_95th,tv_exceeds_control_95th,wasserstein_exceeds_control_95th
20260720,50,mean,0.1192232803583128,0.32286517636699785,20.805540314553113,0.10402770157276557,0.02095603753062123,0.03987978739774098,0.1347671438666166,0.18931890682388347,0.03030727457213645,0.06748327716866233,True,True,True
20260720,50,median,0.09558778526380775,0.30179404508656893,17.954953256377,0.089774766281885,0.02558574675350242,0.039368554351994406,0.1505281769560859,0.186198093297281,0.029996568812656117,0.0594542315243843,True,True,True
20260720,50,trimmed_mean,0.10574716017043274,0.32052872198173205,20.52822592868387,0.10264112964341936,0.01452872204275427,0.027676130629248244,0.11304521201397605,0.15794454460241267,0.02664468214798208,0.0616020525475952,True,True,True
20260720,200,mean,0.33568141424045644,0.5836007209054201,30.672601175611433,0.15336300587805718,0.31841099751320184,0.3680807561545203,0.5440167561313056,0.6042257956412742,0.23500931750742926,0.310687026085291,False,False,False
20260720,200,median,0.092543850854011,0.2816104292403109,18.41641131931294,0.0920820565965647,0.014789418104758797,0.02229929428278266,0.1147327290325664,0.1419754549565501,0.024861881757375914,0.05072620882268171,True,True,True
20260720,200,trimmed_mean,0.09385974514591422,0.2833352446753205,18.83002828962688,0.09415014144813441,0.009800611422927485,0.017607897394873645,0.09332073448532649,0.1261410947789107,0.024923895604904635,0.05951059811263419,True,True,True
20260720,400,mean,0.05349924007949869,0.21529578054410248,12.089363198272366,0.060446815991361834,0.11329513896122738,0.20293452443900262,0.31201791637493004,0.4417364391624473,0.09378192506264152,0.1560282592850944,False,False,False
20260720,400,median,0.12549609473954487,0.32952069799329764,21.555637621137194,0.10777818810568597,0.013969656269002161,0.02122039745811815,0.11194919411886367,0.1404652616988542,0.02862269262210705,0.061224846035277024,True,True,True
20260720,400,trimmed_mean,0.07904472353023227,0.26204125049009275,12.911760159209338,0.06455880079604669,0.1877403310846126,0.2699971840801837,0.41591358450200844,0.5059439963295205,0.13603374657069772,0.20419919344654264,False,False,False
20260721,50,mean,0.2226297788182366,0.47394802797479707,32.55829909347281,0.16279149546736404,0.09376613409421801,0.15415862754183585,0.28318897819496236,0.3796497235449574,0.13714484226909254,0.19216469467155672,True,True,False
20260721,50,median,0.10677420513458956,0.31188605548710635,20.985171708476976,0.10492585854238488,0.016656081597533942,0.023461381423637157,0.12160049143974172,0.14561293318006668,0.023485568301001743,0.04958191870645063,True,True,True
20260721,50,trimmed_mean,0.11913071491996235,0.33143555394302177,22.096780208570408,0.11048390104285204,0.01176376497977811,0.020001767145519177,0.102533391203042,0.1360255071774542,0.03022964681958175,0.06028037277634266,True,True,True
20260721,200,mean,0.16662901209151593,0.3751725755866134,20.329244397252957,0.10164622198626479,0.31073648486152483,0.5316628603771575,0.5340480091001591,0.7725415725729576,0.17645179591725696,0.3356199109520916,False,False,False
20260721,200,median,0.15306202701577457,0.3798622272181126,25.018880025697477,0.12509440012848738,0.016684872388415747,0.030672092392017066,0.12200080863611901,0.164441385408904,0.0379927411329887,0.08190722466387063,True,True,True
20260721,200,trimmed_mean,0.4941777699361997,0.7170081695187489,45.30156373990294,0.2265078186995147,0.12543823645221028,0.3373648126520929,0.3487734979101129,0.6243220829503313,0.10043681477027017,0.3116616141540828,True,True,False
20260721,400,mean,0.13706910858561125,0.3153428350552802,20.152723133602205,0.10076361566801102,0.12409029024798099,0.2756241811210504,0.3436721281032586,0.5318946542993724,0.14800193089802222,0.26642307847412344,False,False,False
20260721,400,median,0.11690656113305008,0.3042551328668155,21.015935307549817,0.10507967653774909,0.05687300740628416,0.16581187576028444,0.21982762200632686,0.4129489394966688,0.10342759206361468,0.24845474452853475,False,False,False
20260721,400,trimmed_mean,0.1402758894638053,0.3290841552291925,21.080737574022006,0.10540368787011004,0.10902868986464806,0.27141046286644027,0.31956778613565817,0.5387050533115718,0.13196193614828394,0.29352552503309914,False,False,False
20260722,50,mean,0.23614299636555908,0.46698387387109663,33.32088437147024,0.16660442185735122,0.1391943298679329,0.1950516999110963,0.33099353773619755,0.4102432006093723,0.14919945465455328,0.1861327429519154,True,True,False
20260722,50,median,0.08990124933790959,0.2865668992282186,18.142094770696282,0.09071047385348141,0.020938413584640457,0.028720892007204388,0.13535271987918607,0.16059584063968324,0.02492424048152626,0.050036674584921066,True,True,True
20260722,50,trimmed_mean,0.08261639333386811,0.2738966719649073,17.406104212654057,0.08703052106327029,0.013433300119855494,0.020239385346421977,0.10965773931722642,0.13367840463677533,0.02386389297843744,0.04668531900966787,True,True,True
20260722,200,mean,0.3192442932401367,0.5853000005809574,37.33045155785469,0.18665225778927344,0.27463747406108213,0.5434124986818312,0.5270197281934133,0.7491433324834843,0.1843513209473219,0.47617359765258355,False,False,False
20260722,200,median,0.08567365143006078,0.26733265550247143,17.203950594226683,0.08601975297113341,0.013761842111876164,0.022512738926220677,0.11128714832479945,0.14396334299719668,0.02852429466635141,0.06062493970853265,True,True,True
20260722,200,trimmed_mean,0.11344641139454077,0.31160741732844166,22.931505270464683,0.11465752635232342,0.047989906469598775,0.09188153580399014,0.21004005746650714,0.2931418219600173,0.08175373177042408,0.1672155747490498,True,True,False
20260722,400,mean,0.2976264861436365,0.5169673638976419,40.008751614042914,0.20004375807021457,0.0872998494362283,0.14551864655248825,0.251842853956332,0.37096544587763236,0.05911486816143856,0.13590620810300358,True,True,True
20260722,400,median,0.10222566220648598,0.2890678428972635,19.597836113691024,0.09798918056845513,0.015895592863667485,0.030502126411259038,0.11943131861758267,0.16644795702490706,0.034460631094394546,0.07941941954596768,True,True,True
20260722,400,trimmed_mean,0.5467868795573251,0.7602675872931307,56.516006726396334,0.2825800336319817,0.15957214513063472,0.29289987839236875,0.3723876778763713,0.5155164709825385,0.07311571055868496,0.21422628413141168,True,True,True
