seed,run_dir,instance_id,status,elapsed_seconds,script_sha256
20260720,C:\finite-response-kernels\model_trajectory_dynamics\experiment\runs\composition-seed20260720-20260721T012818Z,i-0fecd61fcf02b6eb9,complete,140.89940390700002,9e3adf94f7ac155ec23c9bf535f916759df613d56b4bd6285e4cd7e1af201e62
20260721,C:\finite-response-kernels\model_trajectory_dynamics\experiment\runs\composition-seed20260721-20260721T013258Z,i-0868caaa156f5f37d,complete,148.970976396,9e3adf94f7ac155ec23c9bf535f916759df613d56b4bd6285e4cd7e1af201e62
20260722,C:\finite-response-kernels\model_trajectory_dynamics\experiment\runs\composition-seed20260722-20260721T013755Z,i-001ec27d6e867185a,complete,140.458659891,9e3adf94f7ac155ec23c9bf535f916759df613d56b4bd6285e4cd7e1af201e62
