seed,start_step,aggregation,js_divergence_bits,total_variation,wasserstein_lags,wasserstein_fraction_of_horizon
20260720,50,mean,0.11922328126245911,0.32286517797472747,20.805540348838356,0.10402770174419178
20260720,50,median,0.09558778526380779,0.30179404508656893,17.954953256376992,0.08977476628188497
20260720,50,trimmed_mean,0.10574715937066652,0.3205287224631135,20.528226042418325,0.10264113021209162
20260720,200,mean,0.3356814242057085,0.5836007314915417,30.672601580201864,0.15336300790100932
20260720,200,median,0.092543850854011,0.2816104292403108,18.416411319312935,0.09208205659656468
20260720,200,trimmed_mean,0.09385974499786189,0.2833352441435657,18.830028257707642,0.09415014128853821
20260720,400,mean,0.05349924043363147,0.21529578252341852,12.089363375489711,0.06044681687744855
20260720,400,median,0.12549609473954487,0.32952069799329764,21.555637621137194,0.10777818810568597
20260720,400,trimmed_mean,0.07904472290380757,0.2620412491824905,12.911760070155209,0.06455880035077605
20260721,50,mean,0.22262978217744314,0.4739480308825718,32.558299609468406,0.16279149804734203
20260721,50,median,0.10677420513458954,0.31188605548710635,20.985171708476976,0.10492585854238488
20260721,50,trimmed_mean,0.11913071535089734,0.33143555536672187,22.096780256842766,0.11048390128421383
20260721,200,mean,0.16662901056428267,0.37517257209965715,20.32924418351657,0.10164622091758284
20260721,200,median,0.15306202701577457,0.3798622272181126,25.018880025697463,0.12509440012848733
20260721,200,trimmed_mean,0.4941777693308321,0.7170081692954449,45.30156375294766,0.2265078187647383
20260721,400,mean,0.13706910744188874,0.3153428350182383,20.15272303704728,0.10076361518523641
20260721,400,median,0.11690656113305008,0.3042551328668155,21.01593530754984,0.10507967653774919
20260721,400,trimmed_mean,0.14027588889489795,0.32908415319677403,21.08073742583612,0.10540368712918059
20260722,50,mean,0.236142996699523,0.4669838738711331,33.32088446820795,0.16660442234103975
20260722,50,median,0.08990124933790959,0.2865668992282186,18.142094770696282,0.09071047385348141
20260722,50,trimmed_mean,0.08261639486559472,0.27389667565967113,17.406104386513753,0.08703052193256877
20260722,200,mean,0.31924429263024273,0.5853000000437314,37.330451485467705,0.1866522574273385
20260722,200,median,0.08567365143006077,0.26733265550247143,17.203950594226683,0.08601975297113341
20260722,200,trimmed_mean,0.1134464119768701,0.3116074184454397,22.93150540395843,0.11465752701979215
20260722,400,mean,0.29762648201101627,0.5169673593708556,40.00875119393518,0.2000437559696759
20260722,400,median,0.10222566220648599,0.2890678428972635,19.597836113691002,0.09798918056845501
20260722,400,trimmed_mean,0.5467868782969102,0.7602675863903943,56.5160066680124,0.282580033340062
