seed,epsilon_small,epsilon_large,relative_l2_discrepancy,aggregate_cosine,median_absolute_curve_cosine,median_per_replica_cosine,replicas_below_0_9_cosine
20260720,0.025,0.05,0.9248005237381373,0.9656011864342116,0.999872347929819,0.9999452761579186,1
20260720,0.05,0.1,1.2711928307773313,0.009796375679627581,0.9999106693892192,0.9999844106368703,2
20260721,0.025,0.05,1.9451102291043258,0.5113033385139824,0.9996820695935497,0.9998280307116535,10
20260721,0.05,0.1,2.287606323495571,-0.08442231528178228,0.9998469576582738,0.9999434297544929,14
20260722,0.025,0.05,2.307607019721525,-0.03470406656167444,0.9998809303406323,0.9999371451904934,5
20260722,0.05,0.1,3.124053698808912,0.1513991271726295,0.9998513219034679,0.9999792767786007,6
