problem_id,tag,replicate,rho,round,population_size,mean_accuracy,mean_fitness,pass_at_4,distinct_fraction,effective_answers,invalid_fraction,regressions,recoveries,fitness_regressions,fitness_improvements,candidate_ids
603,ELECTRICITY,0,-6.0,4,4,0.0,0.0,0,0.5,2.0,0.0,0,0,0,0,control-restart-20260719-b4fb7caac64b4553|control-restart-20260719-d06ae20147b44a49|control-restart-20260719-d06ae20147b44a49|control-restart-20260719-b4fb7caac64b4553
603,ELECTRICITY,0,0.0,4,4,0.0,0.071875,0,0.75,2.6666666666666665,0.0,0,0,0,0,control-restart-20260719-80b73462cb174df1|control-restart-20260719-80b73462cb174df1|control-restart-20260719-f604ad5a1b88411c|control-restart-20260719-63500c66097f4452
603,ELECTRICITY,0,2.0,4,4,0.0,0.11875,0,0.75,2.6666666666666665,0.0,0,0,0,0,control-restart-20260719-269e0396ad984a9d|control-restart-20260719-57bcc14b321245dc|control-restart-20260719-57bcc14b321245dc|control-restart-20260719-5eeb17c611cf41e8
83,ELECTRICITY,0,-6.0,4,4,0.0,0.10833333333333334,0,0.5,1.6,0.0,0,0,0,0,control-restart-20260719-14cfeae67fc3439e|control-restart-20260719-3d7b802ba12d4870|control-restart-20260719-3d7b802ba12d4870|control-restart-20260719-3d7b802ba12d4870
83,ELECTRICITY,0,0.0,4,4,0.0,0.10833333333333334,0,0.5,1.6,0.0,0,0,0,0,control-restart-20260719-57df0497fb804db9|control-restart-20260719-b424c15028af47e1|control-restart-20260719-b424c15028af47e1|control-restart-20260719-b424c15028af47e1
83,ELECTRICITY,0,2.0,4,4,0.0,0.43333333333333335,0,0.25,1.0,0.0,0,0,0,0,control-restart-20260719-e1a3a123c192416b|control-restart-20260719-48f68a17410b40dd|control-restart-20260719-be70dfd0e5dc40e0|control-restart-20260719-48f68a17410b40dd
244,THERMODYNAMICS,0,-6.0,4,4,0.0,0.0,0,0.75,2.6666666666666665,0.0,0,0,0,0,control-restart-20260719-89864da094284451|control-restart-20260719-fb7a832e7d5a4c21|control-restart-20260719-c87ab487612c4d4f|control-restart-20260719-89864da094284451
244,THERMODYNAMICS,0,0.0,4,4,0.0,0.0,0,0.75,2.6666666666666665,0.0,0,0,0,0,control-restart-20260719-6d33247f368a4729|control-restart-20260719-b1476fb906654518|control-restart-20260719-6d33247f368a4729|control-restart-20260719-4e50784d20e44a62
244,THERMODYNAMICS,0,2.0,4,4,0.0,0.0,0,0.5,2.0,0.0,0,0,0,0,control-restart-20260719-1e64fffc4bfd409b|control-restart-20260719-1e64fffc4bfd409b|control-restart-20260719-19247b0967a84010|control-restart-20260719-19247b0967a84010
443,ELECTRICITY,0,-6.0,5,4,0.0,0.0,0,0.5,1.6,0.0,0,0,0,0,control-restart-20260719-2b157da279174fdb|control-restart-20260719-9369cc6e82a84bb3|control-restart-20260719-9369cc6e82a84bb3|control-restart-20260719-9369cc6e82a84bb3
443,ELECTRICITY,0,0.0,5,4,0.0,0.007142857142857145,0,1.0,4.0,0.0,0,0,0,0,control-restart-20260719-e8ff406b5bfe4153|control-restart-20260719-71698f4830d4475b|control-restart-20260719-743f746e10e04dff|control-restart-20260719-d9678dccd6b3481a
443,ELECTRICITY,0,2.0,5,4,0.0,0.45714285714285713,0,0.25,1.0,0.0,0,0,0,0,control-restart-20260719-dce575b858334229|control-restart-20260719-dce575b858334229|control-restart-20260719-dce575b858334229|control-restart-20260719-dce575b858334229
458,ADVANCED,0,-6.0,5,4,0.0,0.16249999999999998,0,0.5,1.6,0.0,0,0,0,0,control-restart-20260719-df503e131b734c6c|control-restart-20260719-df503e131b734c6c|control-restart-20260719-cbe08cb44e044419|control-restart-20260719-df503e131b734c6c
