run_id,stage,seed,step,train_loss,train_accuracy,train_correct,train_count,test_loss,test_accuracy,test_correct,test_count,parameter_l2_norm,elapsed_seconds
confirm-seed20260801,confirmation,20260801,0,2.849858389960395,0.06944444444444445,10,144,2.8327586206896553,0.04827586206896552,7,145,12.051614114924574,0.004356200006441213
confirm-seed20260801,confirmation,20260801,20,2.6948115030924478,0.14583333333333334,21,144,2.9894190294989222,0.0,0,145,11.870236331349798,0.12496300000930205
confirm-seed20260801,confirmation,20260801,40,2.5318338606092663,0.2986111111111111,43,144,3.1283493568157326,0.0,0,145,11.741026371017872,0.24925160000566393
confirm-seed20260801,confirmation,20260801,60,2.3436622619628906,0.3888888888888889,56,144,3.3045664820177802,0.0,0,145,11.643920264977462,0.35361350000312086
confirm-seed20260801,confirmation,20260801,80,2.128202862209744,0.5138888888888888,74,144,3.44677734375,0.0,0,145,11.575166516531498,0.45650440000463277
confirm-seed20260801,confirmation,20260801,100,1.9068673451741536,0.6458333333333334,93,144,3.527202737742457,0.006896551724137931,1,145,11.522111739369654,0.5618838000082178
confirm-seed20260801,confirmation,20260801,120,1.6151916715833876,0.7013888888888888,101,144,3.5185814166891163,0.013793103448275862,2,145,11.493671616400311,0.6972531000064919
confirm-seed20260801,confirmation,20260801,140,1.3238852818806965,0.7777777777777778,112,144,3.4455368568157327,0.034482758620689655,5,145,11.474018191514299,0.8179558000119869
confirm-seed20260801,confirmation,20260801,160,1.0607985390557184,0.8333333333333334,120,144,3.4075216359105602,0.04827586206896552,7,145,11.453272909825952,0.9312533000047551
confirm-seed20260801,confirmation,20260801,180,0.8375842836168077,0.9166666666666666,132,144,3.4383871144261855,0.0896551724137931,13,145,11.422557194103604,1.047132200008491
confirm-seed20260801,confirmation,20260801,200,0.6600859430101182,0.9791666666666666,141,144,3.471789761247306,0.12413793103448276,18,145,11.386739377456838,1.1618540000054054
