epsilon_small,epsilon_large,relative_l2_discrepancy,aggregate_cosine,median_absolute_curve_cosine,median_per_replica_cosine,replicas_below_0_9_cosine
0.025,0.05,1.9451102291043258,0.5113033385139824,0.9996820695935497,0.9998280307116535,10
0.05,0.1,2.287606323495571,-0.08442231528178228,0.9998469576582738,0.9999434297544929,14
