start_step,js_divergence_bits,total_variation,wasserstein_lags,wasserstein_fraction_of_horizon,js_divergence_bits_control_median,js_divergence_bits_control_95th,total_variation_control_median,total_variation_control_95th,wasserstein_fraction_of_horizon_control_median,wasserstein_fraction_of_horizon_control_95th,js_exceeds_control_95th,tv_exceeds_control_95th,wasserstein_exceeds_control_95th
50,0.22262978217744314,0.4739480308825718,32.558299609468406,0.16279149804734203,0.09266155451845212,0.1440976304067448,0.28332334374754586,0.37259180791887897,0.13702076397212254,0.1884266321197458,True,True,False
200,0.16662901056428267,0.37517257209965715,20.32924418351657,0.10164622091758284,0.30503457348564345,0.5253478035007145,0.5348415886998743,0.7626631019911522,0.16334374440481483,0.3363594602745875,False,False,False
400,0.13706910744188874,0.3153428350182383,20.15272303704728,0.10076361518523641,0.12167037319475132,0.29669623080104435,0.33374747873424154,0.5394250208987789,0.1517056908114289,0.2598629349942228,False,False,False
