start_step,second_step,block_length,js_divergence_bits,total_variation,wasserstein_lags,wasserstein_fraction_of_horizon,js_ci_low,js_ci_high,tv_ci_low,tv_ci_high,wasserstein_ci_low,wasserstein_ci_high
50,150,100,0.22262978217744314,0.4739480308825718,32.558299609468406,0.16279149804734203,0.1470797808695636,0.29896019353079595,0.36332229065023325,0.5665541096619189,0.12590527797221765,0.24302444443131685
200,300,100,0.16662901056428267,0.37517257209965715,20.32924418351657,0.10164622091758284,0.0840178051867306,0.6578766696638869,0.22481839754696548,0.8384512610305099,0.0488113934646704,0.25633266510152175
400,500,100,0.13706910744188874,0.3153428350182383,20.15272303704728,0.10076361518523641,0.0814293464424486,0.3601224698912071,0.22515102868181217,0.6051072927684549,0.06927872351298538,0.24076932409643
