start_step,aggregation,js_divergence_bits,total_variation,wasserstein_lags,wasserstein_fraction_of_horizon
50,mean,0.22262978217744314,0.4739480308825718,32.558299609468406,0.16279149804734203
50,median,0.10677420513458954,0.31188605548710635,20.985171708476976,0.10492585854238488
50,trimmed_mean,0.11913071535089734,0.33143555536672187,22.096780256842766,0.11048390128421383
200,mean,0.16662901056428267,0.37517257209965715,20.32924418351657,0.10164622091758284
200,median,0.15306202701577457,0.3798622272181126,25.018880025697463,0.12509440012848733
200,trimmed_mean,0.4941777693308321,0.7170081692954449,45.30156375294766,0.2265078187647383
400,mean,0.13706910744188874,0.3153428350182383,20.15272303704728,0.10076361518523641
400,median,0.11690656113305008,0.3042551328668155,21.01593530754984,0.10507967653774919
400,trimmed_mean,0.14027588889489795,0.32908415319677403,21.08073742583612,0.10540368712918059
