family,regime,window,noise,horizon_bin,count,class_accuracy,forecast_success_rate,median_radius_error,median_forecast_nrmse,p90_forecast_nrmse
finite_horizon,origin,64,1e-08,1_to_2,10038,0.0,0.0,0.974556938826,0.728765433839,1.0
finite_horizon,origin,64,1e-08,ge_2,137723,0.07553567668435919,0.10337416408297816,0.588139623355,0.540923408112,0.778041240116
finite_horizon,post_lag,8,0,0.5_to_1,41032,0.012234353675180347,0.0,0.00689602637443,1.11025016776,1.19358253951
finite_horizon,post_lag,8,0,1_to_2,15458,0.14484409367317894,0.033186699443653774,0.525430317776,0.506134302653,0.841450761306
finite_horizon,post_lag,8,0,lt_0.5,91271,0.0,0.0,0.000569465085688,1.03396167567,1.06566783495
finite_horizon,post_lag,8,0.001,0.5_to_1,41032,0.012234353675180347,0.0,0.00697200975404,1.11061433151,1.19417307113
finite_horizon,post_lag,8,0.001,1_to_2,15458,0.15409496700737482,0.040108681588821325,0.520896165594,0.506134271036,0.841450697665
finite_horizon,post_lag,8,0.001,lt_0.5,91271,0.0,0.0,0.000678006030321,1.03397224086,1.0677484688
finite_horizon,post_lag,8,1e-05,0.5_to_1,41032,0.012234353675180347,0.0,0.00689479660643,1.11024300641,1.19357279527
finite_horizon,post_lag,8,1e-05,1_to_2,15458,0.14484409367317894,0.033186699443653774,0.525430382914,0.506134302196,0.841450760519
finite_horizon,post_lag,8,1e-05,lt_0.5,91271,0.0,0.0,0.000568957332564,1.03396233241,1.06567402021
finite_horizon,post_lag,8,1e-08,0.5_to_1,41032,0.012234353675180347,0.0,0.00689602427993,1.11025015912,1.19358253853
finite_horizon,post_lag,8,1e-08,1_to_2,15458,0.14484409367317894,0.033186699443653774,0.525430319967,0.506134302652,0.841450761305
finite_horizon,post_lag,8,1e-08,lt_0.5,91271,0.0,0.0,0.000569464989288,1.03396167507,1.06566783739
finite_horizon,post_lag,16,0,0.5_to_1,81233,0.0019327120751418759,0.0,0.000695194471892,1.032693393,1.06997793636
finite_horizon,post_lag,16,0,1_to_2,41032,0.03238935465002925,0.0,0.250163393597,0.760582696935,0.973508530994
finite_horizon,post_lag,16,0,ge_2,15458,0.4850562815370682,0.33141415448311556,0.193581938386,0.170478847861,0.775474619784
finite_horizon,post_lag,16,0,lt_0.5,10038,0.0,0.0,0.000271825200197,1.02828068374,1.03829475733
finite_horizon,post_lag,16,0.001,0.5_to_1,81233,0.0019327120751418759,0.0,0.000699577045829,1.03267952537,1.0700050148
finite_horizon,post_lag,16,0.001,1_to_2,41032,0.03243809709495028,0.0,0.250109172458,0.760583581497,0.973508564029
finite_horizon,post_lag,16,0.001,ge_2,15458,0.4850562815370682,0.3385949023159529,0.19341216384,0.170178757185,0.775474692504
finite_horizon,post_lag,16,0.001,lt_0.5,10038,0.0,0.0,0.00028523486497,1.02827589037,1.03831569786
finite_horizon,post_lag,16,1e-05,0.5_to_1,81233,0.0019327120751418759,0.0,0.000695086266708,1.03269294635,1.06997833227
finite_horizon,post_lag,16,1e-05,1_to_2,41032,0.03238935465002925,0.0,0.250160631457,0.760582699168,0.973508532319
finite_horizon,post_lag,16,1e-05,ge_2,15458,0.4850562815370682,0.33141415448311556,0.193580606534,0.170474946399,0.775474620768
finite_horizon,post_lag,16,1e-05,lt_0.5,10038,0.0,0.0,0.000271963025259,1.02828087386,1.03829566646
finite_horizon,post_lag,16,1e-08,0.5_to_1,81233,0.0019327120751418759,0.0,0.000695194377652,1.03269339219,1.06997793736
finite_horizon,post_lag,16,1e-08,1_to_2,41032,0.03238935465002925,0.0,0.250163390429,0.760582696934,0.973508530994
finite_horizon,post_lag,16,1e-08,ge_2,15458,0.4850562815370682,0.33141415448311556,0.193581936797,0.170478844604,0.775474619785
finite_horizon,post_lag,16,1e-08,lt_0.5,10038,0.0,0.0,0.000271825537339,1.02828068352,1.03829475495
finite_horizon,post_lag,32,0,0.5_to_1,10038,0.0031878860330743176,0.0,0.513191427756,0.204399404742,0.256217286752
finite_horizon,post_lag,32,0,1_to_2,81233,0.00853101572021223,0.0,0.138993935311,0.985860868648,1.00284142041
finite_horizon,post_lag,32,0,ge_2,56490,0.3565763852009205,0.20881571959638875,0.132682554807,0.478017419466,0.856257850934
