worker,schema_index,family,schema,max_lag,branch_count,window,window_start,regime,horizon_ratio,horizon_bin,noise,true_radius,true_class,estimated_order,recovered_radius,recovered_class,radius_error,class_correct,forecast_nrmse,forecast_success,signal_rms
22,18103,random_split,4:4;5:3;6:42,6,49,8,6,post_lag,1.33333333333,1_to_2,1e-05,0.963057039234,alternating,2,1.14903066275,alternating,0.18597362352,1,10.6421774696,0,0.981041237497
12,15168,random_split,4:4;5:3;6:42,6,49,8,6,post_lag,1.33333333333,1_to_2,0.001,0.963057039234,alternating,2,1.14903418512,alternating,0.185977145886,1,10.6421250473,0,0.981041237497
12,15168,random_split,4:4;5:3;6:42,6,49,8,6,post_lag,1.33333333333,1_to_2,1e-05,0.963057039234,alternating,2,1.14903010979,alternating,0.185973070556,1,10.6420516486,0,0.981041237497
3,6481,random_split,4:4;5:3;6:42,6,49,8,6,post_lag,1.33333333333,1_to_2,0.001,0.963057039234,alternating,2,1.14898329193,alternating,0.185926252695,1,10.6291118838,0,0.981041237497
22,18103,random_split,4:4;5:3;6:42,6,49,8,6,post_lag,1.33333333333,1_to_2,0.001,0.963057039234,alternating,2,1.14882840645,alternating,0.185771367219,1,10.5981853511,0,0.981041237497
26,7967,random_split,4:4;5:3;6:42,6,49,8,6,post_lag,1.33333333333,1_to_2,0.001,0.963057039234,alternating,2,1.14832382579,alternating,0.18526678656,1,10.480993379,0,0.981041237497
11,11940,finite_horizon,31:1832058;32:4289471122;33:3664116,33,4294967296,32,33,post_lag,0.969696969697,0.5_to_1,0.001,0.999999231674,ringing,1,1.11576551997,monotone,0.115766288293,0,8.07005590795,0,3.12722185438
11,11940,finite_horizon,31:1832058;32:4289471122;33:3664116,33,4294967296,32,33,post_lag,0.969696969697,0.5_to_1,1e-05,0.999999231674,ringing,1,1.1155841719,monotone,0.115584940223,0,8.03189735676,0,3.12722185438
11,11940,finite_horizon,31:1832058;32:4289471122;33:3664116,33,4294967296,32,33,post_lag,0.969696969697,0.5_to_1,1e-08,0.999999231674,ringing,1,1.11558224749,monotone,0.115583015813,0,8.03146256432,0,3.12722185438
11,11940,finite_horizon,31:1832058;32:4289471122;33:3664116,33,4294967296,32,33,post_lag,0.969696969697,0.5_to_1,0,0.999999231674,ringing,1,1.11558224588,monotone,0.115583014202,0,8.03146223117,0,3.12722185438
22,3218,random_split,2:2;3:2;4:2;6:4;7:7;9:4,9,21,8,9,post_lag,0.888888888889,0.5_to_1,1e-08,0.67544843684,ringing,1,1.12295308423,alternating,0.447504647394,0,7.4456888009,0,0.00481577776841
22,3218,random_split,2:2;3:2;4:2;6:4;7:7;9:4,9,21,8,9,post_lag,0.888888888889,0.5_to_1,0,0.67544843684,ringing,1,1.12295308331,alternating,0.447504646472,0,7.44568865303,0,0.00481577776841
22,3218,random_split,2:2;3:2;4:2;6:4;7:7;9:4,9,21,8,9,post_lag,0.888888888889,0.5_to_1,1e-05,0.67544843684,ringing,1,1.12295199263,alternating,0.447503555792,0,7.44550838283,0,0.00481577776841
22,3218,random_split,2:2;3:2;4:2;6:4;7:7;9:4,9,21,8,9,post_lag,0.888888888889,0.5_to_1,0.001,0.67544843684,ringing,1,1.12264726786,alternating,0.44719883102,0,7.4047897137,0,0.00481577776841
7,16389,random_split,2:3;5:5;6:2;7:8,7,18,8,7,post_lag,1.14285714286,1_to_2,1e-05,0.802902958296,ringing,1,1.11848288865,alternating,0.315579930351,0,4.93974559483,0,0.0930631998415
7,16389,random_split,2:3;5:5;6:2;7:8,7,18,8,7,post_lag,1.14285714286,1_to_2,0,0.802902958296,ringing,1,1.11848277608,alternating,0.315579817784,0,4.93969940399,0,0.0930631998415
7,16389,random_split,2:3;5:5;6:2;7:8,7,18,8,7,post_lag,1.14285714286,1_to_2,1e-08,0.802902958296,ringing,1,1.11848277476,alternating,0.315579816467,0,4.93969922206,0,0.0930631998415
7,16389,random_split,2:3;5:5;6:2;7:8,7,18,8,7,post_lag,1.14285714286,1_to_2,0.001,0.802902958296,ringing,1,1.11821031816,alternating,0.315307359867,0,4.91181343491,0,0.0930631998415
0,6033,finite_horizon,31:2329917;32:4287977545;33:4659834,33,4294967296,32,33,post_lag,0.969696969697,0.5_to_1,1e-05,0.999999022905,ringing,1,1.0860408543,monotone,0.0860418313972,0,3.55653166983,0,3.119801106
0,6033,finite_horizon,31:2329917;32:4287977545;33:4659834,33,4294967296,32,33,post_lag,0.969696969697,0.5_to_1,1e-08,0.999999022905,ringing,1,1.08603835103,monotone,0.0860393281241,0,3.55628892898,0,3.119801106
0,6033,finite_horizon,31:2329917;32:4287977545;33:4659834,33,4294967296,32,33,post_lag,0.969696969697,0.5_to_1,0,0.999999022905,ringing,1,1.08603834811,monotone,0.086039325207,0,3.556288626,0,3.119801106
0,6033,finite_horizon,31:2329917;32:4287977545;33:4659834,33,4294967296,32,33,post_lag,0.969696969697,0.5_to_1,0.001,0.999999022905,ringing,1,1.08601033755,monotone,0.0860113146414,0,3.55491885826,0,3.119801106
10,9784,random_split,2:3;5:6;6:2;7:4,7,15,8,7,post_lag,1.14285714286,1_to_2,0.001,0.77994143121,ringing,1,1.09280189025,alternating,0.312860459038,0,2.72232341748,0,0.0743921260225
8,13479,random_split,2:3;5:6;6:2;7:4,7,15,8,7,post_lag,1.14285714286,1_to_2,0.001,0.77994143121,ringing,1,1.09261648344,alternating,0.312675052225,0,2.70983984856,0,0.0743921260225
12,3404,random_split,2:3;5:6;6:2;7:4,7,15,8,7,post_lag,1.14285714286,1_to_2,0.001,0.77994143121,ringing,1,1.09263956757,alternating,0.312698136357,0,2.70948941351,0,0.0743921260225
24,14567,random_split,2:3;5:6;6:2;7:4,7,15,8,7,post_lag,1.14285714286,1_to_2,1e-05,0.77994143121,ringing,1,1.09262564464,alternating,0.312684213432,0,2.70882618368,0,0.0743921260225
12,3404,random_split,2:3;5:6;6:2;7:4,7,15,8,7,post_lag,1.14285714286,1_to_2,1e-05,0.77994143121,ringing,1,1.09262437725,alternating,0.312682946037,0,2.70873913464,0,0.0743921260225
10,9784,random_split,2:3;5:6;6:2;7:4,7,15,8,7,post_lag,1.14285714286,1_to_2,1e-08,0.77994143121,ringing,1,1.09262417717,alternating,0.312682745961,0,2.70872343929,0,0.0743921260225
24,14567,random_split,2:3;5:6;6:2;7:4,7,15,8,7,post_lag,1.14285714286,1_to_2,0,0.77994143121,ringing,1,1.09262417422,alternating,0.312682743007,0,2.70872324535,0,0.0743921260225
19,10794,random_split,2:3;5:6;6:2;7:4,7,15,8,7,post_lag,1.14285714286,1_to_2,0,0.77994143121,ringing,1,1.09262417422,alternating,0.312682743007,0,2.70872324535,0,0.0743921260225
12,3404,random_split,2:3;5:6;6:2;7:4,7,15,8,7,post_lag,1.14285714286,1_to_2,0,0.77994143121,ringing,1,1.09262417422,alternating,0.312682743007,0,2.70872324535,0,0.0743921260225
10,9784,random_split,2:3;5:6;6:2;7:4,7,15,8,7,post_lag,1.14285714286,1_to_2,0,0.77994143121,ringing,1,1.09262417422,alternating,0.312682743007,0,2.70872324535,0,0.0743921260225
8,13479,random_split,2:3;5:6;6:2;7:4,7,15,8,7,post_lag,1.14285714286,1_to_2,0,0.77994143121,ringing,1,1.09262417422,alternating,0.312682743007,0,2.70872324535,0,0.0743921260225
6,8627,random_split,2:3;5:6;6:2;7:4,7,15,8,7,post_lag,1.14285714286,1_to_2,0,0.77994143121,ringing,1,1.09262417422,alternating,0.312682743007,0,2.70872324535,0,0.0743921260225
6,8627,random_split,2:3;5:6;6:2;7:4,7,15,8,7,post_lag,1.14285714286,1_to_2,1e-08,0.77994143121,ringing,1,1.09262417363,alternating,0.312682742417,0,2.70872321301,0,0.0743921260225
24,14567,random_split,2:3;5:6;6:2;7:4,7,15,8,7,post_lag,1.14285714286,1_to_2,1e-08,0.77994143121,ringing,1,1.09262417374,alternating,0.312682742526,0,2.70872318902,0,0.0743921260225
19,10794,random_split,2:3;5:6;6:2;7:4,7,15,8,7,post_lag,1.14285714286,1_to_2,1e-08,0.77994143121,ringing,1,1.09262417266,alternating,0.312682741449,0,2.70872311124,0,0.0743921260225
8,13479,random_split,2:3;5:6;6:2;7:4,7,15,8,7,post_lag,1.14285714286,1_to_2,1e-08,0.77994143121,ringing,1,1.09262417167,alternating,0.312682740458,0,2.70872307644,0,0.0743921260225
12,3404,random_split,2:3;5:6;6:2;7:4,7,15,8,7,post_lag,1.14285714286,1_to_2,1e-08,0.77994143121,ringing,1,1.0926241712,alternating,0.312682739991,0,2.70872306113,0,0.0743921260225
10,9784,random_split,2:3;5:6;6:2;7:4,7,15,8,7,post_lag,1.14285714286,1_to_2,1e-05,0.77994143121,ringing,1,1.09262356396,alternating,0.31268213275,0,2.70868746214,0,0.0743921260225
6,8627,random_split,2:3;5:6;6:2;7:4,7,15,8,7,post_lag,1.14285714286,1_to_2,1e-05,0.77994143121,ringing,1,1.09262354188,alternating,0.312682110668,0,2.70868484111,0,0.0743921260225
8,13479,random_split,2:3;5:6;6:2;7:4,7,15,8,7,post_lag,1.14285714286,1_to_2,1e-05,0.77994143121,ringing,1,1.09262231183,alternating,0.312680880617,0,2.70862232494,0,0.0743921260225
19,10794,random_split,2:3;5:6;6:2;7:4,7,15,8,7,post_lag,1.14285714286,1_to_2,1e-05,0.77994143121,ringing,1,1.0926197054,alternating,0.312678274191,0,2.70843765562,0,0.0743921260225
24,14567,random_split,2:3;5:6;6:2;7:4,7,15,8,7,post_lag,1.14285714286,1_to_2,0.001,0.77994143121,ringing,1,1.09260561039,alternating,0.312664179175,0,2.70806574584,0,0.0743921260225
6,8627,random_split,2:3;5:6;6:2;7:4,7,15,8,7,post_lag,1.14285714286,1_to_2,0.001,0.77994143121,ringing,1,1.09257689905,alternating,0.312635467839,0,2.70255126237,0,0.0743921260225
