worker,schema_index,family,schema,max_lag,branch_count,window,window_start,regime,noise,true_radius,true_class,estimated_order,recovered_radius,recovered_class,radius_error,class_correct,forecast_nrmse,forecast_success,signal_rms
14,15828,finite_horizon,13:5459;14:7;15:10918,15,16384,24,15,post_lag,1e-05,0.998206832429,ringing,1,0.971659347485,alternating,0.0265474849437,0,1.01493024091,0,2.22403209906
13,2477,finite_horizon,13:5459;14:7;15:10918,15,16384,24,15,post_lag,1e-05,0.998206832429,ringing,1,0.971659087983,alternating,0.0265477444462,0,1.01493012297,0,2.22403209906
14,15828,finite_horizon,13:5459;14:7;15:10918,15,16384,24,15,post_lag,1e-08,0.998206832429,ringing,1,0.971659375751,alternating,0.0265474566777,0,1.01493011486,0,2.22403209906
19,5343,finite_horizon,13:5459;14:7;15:10918,15,16384,24,15,post_lag,0,0.998206832429,ringing,1,0.971659375916,alternating,0.0265474565133,0,1.01493011475,0,2.22403209906
14,15828,finite_horizon,13:5459;14:7;15:10918,15,16384,24,15,post_lag,0,0.998206832429,ringing,1,0.971659375916,alternating,0.0265474565133,0,1.01493011475,0,2.22403209906
13,2477,finite_horizon,13:5459;14:7;15:10918,15,16384,24,15,post_lag,0,0.998206832429,ringing,1,0.971659375916,alternating,0.0265474565133,0,1.01493011475,0,2.22403209906
19,5343,finite_horizon,13:5459;14:7;15:10918,15,16384,24,15,post_lag,1e-08,0.998206832429,ringing,1,0.971659376559,alternating,0.0265474558702,0,1.01493011464,0,2.22403209906
13,2477,finite_horizon,13:5459;14:7;15:10918,15,16384,24,15,post_lag,1e-08,0.998206832429,ringing,1,0.971659375225,alternating,0.0265474572042,0,1.01493011409,0,2.22403209906
13,2477,finite_horizon,13:5459;14:7;15:10918,15,16384,24,15,post_lag,0.001,0.998206832429,ringing,1,0.971668171841,alternating,0.0265386605877,0,1.0149280693,0,2.22403209906
13,7816,finite_horizon,13:5458;14:10;15:10916,15,16384,24,15,post_lag,1e-05,0.998179730208,ringing,1,0.971628334491,alternating,0.0265513957169,0,1.01492733672,0,2.22385773556
10,3580,finite_horizon,13:5458;14:10;15:10916,15,16384,24,15,post_lag,1e-08,0.998179730208,ringing,1,0.971627334941,alternating,0.0265523952664,0,1.01492707033,0,2.22385773556
29,7641,finite_horizon,13:5458;14:10;15:10916,15,16384,24,15,post_lag,0,0.998179730208,ringing,1,0.971627334815,alternating,0.0265523953925,0,1.01492707015,0,2.22385773556
13,7816,finite_horizon,13:5458;14:10;15:10916,15,16384,24,15,post_lag,0,0.998179730208,ringing,1,0.971627334815,alternating,0.0265523953925,0,1.01492707015,0,2.22385773556
10,3580,finite_horizon,13:5458;14:10;15:10916,15,16384,24,15,post_lag,0,0.998179730208,ringing,1,0.971627334815,alternating,0.0265523953925,0,1.01492707015,0,2.22385773556
1,8525,finite_horizon,13:5458;14:10;15:10916,15,16384,24,15,post_lag,0,0.998179730208,ringing,1,0.971627334815,alternating,0.0265523953925,0,1.01492707015,0,2.22385773556
29,7641,finite_horizon,13:5458;14:10;15:10916,15,16384,24,15,post_lag,1e-08,0.998179730208,ringing,1,0.971627334701,alternating,0.0265523955069,0,1.01492707012,0,2.22385773556
1,8525,finite_horizon,13:5458;14:10;15:10916,15,16384,24,15,post_lag,1e-08,0.998179730208,ringing,1,0.971627334995,alternating,0.0265523952125,0,1.0149270698,0,2.22385773556
13,7816,finite_horizon,13:5458;14:10;15:10916,15,16384,24,15,post_lag,1e-08,0.998179730208,ringing,1,0.97162733434,alternating,0.0265523958681,0,1.01492706968,0,2.22385773556
1,8525,finite_horizon,13:5458;14:10;15:10916,15,16384,24,15,post_lag,1e-05,0.998179730208,ringing,1,0.971627221761,alternating,0.0265525084469,0,1.01492699729,0,2.22385773556
29,7641,finite_horizon,13:5458;14:10;15:10916,15,16384,24,15,post_lag,1e-05,0.998179730208,ringing,1,0.971627186231,alternating,0.026552543977,0,1.01492679238,0,2.22385773556
10,3580,finite_horizon,13:5458;14:10;15:10916,15,16384,24,15,post_lag,1e-05,0.998179730208,ringing,1,0.971626236147,alternating,0.0265534940606,0,1.01492654166,0,2.22385773556
10,3580,finite_horizon,13:5458;14:10;15:10916,15,16384,24,15,post_lag,0.001,0.998179730208,ringing,1,0.971558352788,alternating,0.0266213774197,0,1.01492440246,0,2.22385773556
27,12994,finite_horizon,13:5449;14:37;15:10898,15,16384,24,15,post_lag,0.001,0.99793538084,ringing,1,0.971418405638,alternating,0.0265169752025,0,1.01492405763,0,2.22229425474
