start_step,second_step,block_length,js_divergence_bits,total_variation,wasserstein_lags,wasserstein_fraction_of_horizon,js_ci_low,js_ci_high,tv_ci_low,tv_ci_high,wasserstein_ci_low,wasserstein_ci_high
50,150,100,0.11922328126245911,0.32286517797472747,20.805540348838356,0.10402770174419178,0.09015153490798991,0.14526259126871643,0.2623775026576213,0.3758852136544515,0.08264035036504518,0.12732919030642392
200,300,100,0.3356814242057085,0.5836007314915417,30.672601580201864,0.15336300790100932,0.09301823682532295,0.5584615449986203,0.2851600058225834,0.7803444649054847,0.09234392694569962,0.3100796152157338
400,500,100,0.05349924043363147,0.21529578252341852,12.089363375489711,0.06044681687744855,0.035974192818848026,0.20412722466559027,0.15946751088899785,0.4726157938280597,0.019231284605711163,0.17689357789099217
