run_id,stage,seed,step,train_loss,train_accuracy,train_correct,train_count,test_loss,test_accuracy,test_correct,test_count,parameter_l2_norm,elapsed_seconds
pilot-f0.50-wd1,pilot,20260722,0,4.222589747790984,0.012923351158645277,29,2244,4.210819453385997,0.01826280623608018,41,2245,17.51828849599175,0.0528279449999971
pilot-f0.50-wd1,pilot,20260722,50,4.0233116761885865,0.07352941176470588,165,2244,4.41358764920309,0.0017817371937639199,4,2245,16.96991745065392,0.9223276399999989
pilot-f0.50-wd1,pilot,20260722,100,3.7275829077191958,0.15508021390374332,348,2244,4.5242085820051505,0.0062360801781737195,14,2245,16.786357380632435,1.7792724050000004
pilot-f0.50-wd1,pilot,20260722,150,3.3351976255257076,0.24777183600713013,556,2244,4.4604362232913415,0.023608017817371936,53,2245,16.717524554271797,2.625820107999999
pilot-f0.50-wd1,pilot,20260722,200,2.763643560562542,0.3805704099821747,854,2244,4.0342947707144345,0.06146993318485523,138,2245,16.77045384974909,3.4574648420000003
pilot-f0.50-wd1,pilot,20260722,250,1.8797245535621032,0.625222816399287,1403,2244,2.9407506318294128,0.21870824053452115,491,2245,16.892358610796816,4.317567693000001
pilot-f0.50-wd1,pilot,20260722,300,1.074725145962149,0.8912655971479501,2000,2244,1.7381526547710189,0.5171492204899777,1161,2245,17.022465861100773,5.209317645999995
pilot-f0.50-wd1,pilot,20260722,350,0.6667320197066309,0.9844028520499108,2209,2244,1.1536338687208554,0.7487750556792873,1681,2245,17.123254702448634,6.047506165999998
pilot-f0.50-wd1,pilot,20260722,400,0.3840898965981767,0.9982174688057041,2240,2244,0.7143287233892156,0.9091314031180401,2041,2245,17.214457881705624,6.881132294999993
pilot-f0.50-wd1,pilot,20260722,450,0.19281100546824953,1.0,2244,2244,0.3418143291515869,0.9937639198218263,2231,2245,17.262087238942396,7.734931506000002
pilot-f0.50-wd1,pilot,20260722,500,0.11698790072544799,1.0,2244,2244,0.20183192467636416,0.999554565701559,2244,2245,17.272252756386234,8.566653057000003
pilot-f0.50-wd1,pilot,20260722,550,0.0814056302986893,1.0,2244,2244,0.13885584111203064,0.999554565701559,2244,2245,17.322909989911732,9.422855429000002
pilot-f0.50-wd1,pilot,20260722,600,0.058371019023412477,1.0,2244,2244,0.09827167111675034,0.999554565701559,2244,2245,17.445993603347272,10.267883125999994
pilot-f0.50-wd1,pilot,20260722,650,0.04066209380851923,1.0,2244,2244,0.06654384417629454,0.999554565701559,2244,2245,17.637527034320286,11.094266627999993
pilot-f0.50-wd1,pilot,20260722,700,0.028296778758791892,1.0,2244,2244,0.047992332475488064,1.0,2245,2245,17.877513046943292,12.003622607000004
